site,edition,classification,category_type,category,short_definition,detail_note,verification_status,source_pdf_page,source_section
Appendix,AJCC7,any,T,Tis,Carcinoma in situ: intraepithelial or invasion of lamina propria*,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00111
Appendix,AJCC7,any,T,T1,Tumor invades submucosa,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00111
Appendix,AJCC7,any,T,T2,Tumor invades muscularis propria,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00111
Appendix,AJCC7,any,T,T3,Tumor invades through muscularis propria into subserosa or into mesoappendix,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00111
Appendix,AJCC7,any,T,T4,"Tumor penetrates visceral peritoneum, including mucinous peritoneal tumor within the right lower quadrant and/or directly invades other organs or structures**,***",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00111
Appendix,AJCC7,any,T,T4a,"Tumor penetrates visceral peritoneum, including mucinous peritoneal tumor within the right lower quadrant",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00111
Appendix,AJCC7,any,T,T4b,"Tumor directly invades other organs or structures * Tis includes cancer cells confi ned within the glandular base- ment membrane (intraepithelial) or lamina propria (intra- mucosal) with no extension through muscularis mucosae into submucosa. ** Direct invasion in T4 includes invasion of other segments of the colorectum by way of the serosa, e.g., invasion of ileum. *** Tumor that is adherent to other organs or structures, grossly, is classifi ed cT4b. However, if no tumor is present in the adhesion, microscopically, the classifi cation should be pT1-3 depending on the anatomical depth of wall invasion.",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00111
Appendix,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00112
Appendix,AJCC7,any,N,N0,No regional lymph node metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00112
Appendix,AJCC7,any,N,N1,Metastasis in 1-3 regional lymph nodes,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00112
Appendix,AJCC7,any,N,N2,"Metastasis in four or more regional lymph nodes Note : A satellite peritumoral nodule or tumor deposit (TD) in the periappendiceal adipose tissue of a primary carcinoma without histologic evidence of residual lymph node in the nodule may represent discontinuous spread (T3), venous inva- sion with extravascular spread (T3, V1/2), or a totally replaced lymph node (N1/2). Replaced nodes should be counted as positive nodes while discontinuous spread or venous invasion should be counted in the site-specifi c factor TD.",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00112
Appendix,AJCC7,any,M,M0,No distant metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00113
Appendix,AJCC7,any,M,M1,Distant metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00113
Appendix,AJCC7,any,M,M1a,"Intraperitoneal metastasis beyond the right lower quadrant, including pseudomyxoma peritonei",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00113
Appendix,AJCC7,any,M,M1b,"Nonperitoneal metastasis pTNM Pathologic Classifi cation. The pT, pN, and pM cat- egories correspond to the T, N, and M categories. pN0. Histological examination of a regional lymphadenec- tomy specimen will ordinarily include 12 or more lymph nodes. If the lymph nodes are negative, but the number ordi- narily examined is not met, classify as pN0. Carcinoid",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00113
Appendix,AJCC7,any,T,T1,Tumor 2 cm or less in greatest dimension,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00114
Appendix,AJCC7,any,T,T1a,Tumor 1 cm or less in greatest dimension,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00114
Appendix,AJCC7,any,T,T1b,Tumor more than 1 cm but not more than 2 cm,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00114
Appendix,AJCC7,any,T,T2,Tumor more than 2 cm but not more than 4 cm or with extension to the cecum,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00114
Appendix,AJCC7,any,T,T3,Tumor more than 4 cm or with extension to the ileum,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00114
Appendix,AJCC7,any,T,T4,"Tumor directly invades other adjacent organs or structures, e.g., abdominal wall and skeletal muscle* Note : Tumor that is adherent to other organs or structures, grossly, is classifi ed cT4. However, if no tumor is present in the adhesion, microscopically, the classifi cation should be classifi ed pT1-3 depending on the anatomical depth of wall invasion. *Penetration of the mesoappendix does not seem to be as important a prognostic factor as the size of the primary tumor and is not separately categorized.",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00114
Appendix,AJCC7,any,N,N1,Regional lymph node metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00115
Appendix,AJCC7,any,M,M1,"Distant metastasis In order to view this proof accurately, the Overprint Preview Option must be set to Always in Acrobat Professional or Adobe Reader. Please contact your Customer Service Representative if you have questions about finding this option. Job Name: -- /381449t",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,152,B00116
Appendix,AJCC7,any,G,GX,Grade cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,153,B00119
Appendix,AJCC7,any,G,G1,Well differentiated Mucinous low grade,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,153,B00119
Appendix,AJCC7,any,G,G2,Moderately differentiated Mucinous high grade,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,153,B00119
Appendix,AJCC7,any,G,G3,Poorly differentiated Mucinous high grade,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,153,B00119
Appendix,AJCC7,any,G,G4,"Undifferentiated Histologic grading, particularly of mucinous tumors (those with over 50% of the tumor consisting of extracellular mucus) is needed to separate stages IVA and IVB. Carcinoid. Histologic grading is not carried out for carcinoid tumors, but a mitotic count of 2-10 per 10 hpf and/or focal necrosis are features of atypical carcinoids (well-differentiated neuroendocrine carcinomas), a type seen much more com- monly in the lung than in the appendix. Goblet cell carcinoids are classified according to the carcinoma scheme.",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,153,B00119
Appendix,AJCC7,any,T,T4,NX N0 N1 N2,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,155,B00120
Appendix,AJCC7,any,M,M1,A NATOMIC S TAGE • P ROGNOSTIC G ROUPS Carcinoma GROUP T N M Grade 0 Tis N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M0,I T1 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M0,T2 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M0,IIA T3 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M0,IIB T4a N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M0,IIC T4b N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M0,IIIA T1 N1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M0,T2 N1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M0,IIIB T3 N1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M0,T4 N1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M0,IIIC Any T N2,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M0,IVA Any T N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M1a,G1 IVB Any T N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M1a,"G2, 3 Any T N1",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M1a,Any G Any T N2,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M1a,Any G IVC Any T Any N,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M1b,Any G Carcinoid GROUP T N M I T1 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M0,"II T2, T3 N0",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M0,III T4 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M0,Any T N1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M0,IV Any T Any N,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M1,PATHOLOGIC Carcinoma GROUP T N M Grade 0 Tis N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Appendix,AJCC7,any,M,M0,IVA,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,156,B00122
Colon and Rectum,AJCC7,any,T,TX,Primary tumor cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00125
Colon and Rectum,AJCC7,any,T,T0,No evidence of primary tumor,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00125
Colon and Rectum,AJCC7,any,T,Tis,Carcinoma in situ: intraepithelial or invasion of lamina propria*,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00125
Colon and Rectum,AJCC7,any,T,T1,Tumor invades submucosa,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00125
Colon and Rectum,AJCC7,any,T,T2,Tumor invades muscularis propria,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00125
Colon and Rectum,AJCC7,any,T,T3,Tumor invades through the muscularis propria into pericolorectal tissues,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00125
Colon and Rectum,AJCC7,any,T,T4a,Tumor penetrates to the surface of the visceral peritoneum**,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00125
Colon and Rectum,AJCC7,any,T,T4b,"Tumor directly invades or is adherent to other organs or structures**,*** * Note : Tis includes cancer cells confi ned within the glandu- lar basement membrane (intraepithelial) or mucosal lamina propria (intramucosal) with no extension through the mus- cularis mucosae into the submucosa. ** Note : Direct invasion in T4 includes invasion of other organs or other segments of the colorectum as a result of direct extension through the serosa, as confi rmed on microscopic examination (for example, invasion of the sigmoid colon by a carcinoma of the cecum) or, for cancers in a retroperitoneal or subperitoneal location, direct invasion of other organs or structures by virtue of extension beyond the muscularis pro- pria (i.e., respectively, a tumor on the posterior wall of the descending colon invading the left kidney or lateral abdomi- nal wall; or a mid or distal rectal cancer with invasion of pros- tate, seminal vesicles, cervix, or vagina). *** Note : Tumor that is adherent to other organs or struc- tures, grossly, is classifi ed cT4b. However, if no tumor is present in the adhesion, microscopically, the classifi cation should be pT1-4a depending on the anatomical depth of wall invasion. The V and L classifi cations should be used to identify the presence or absence of vascular or lymphatic invasion whereas the PN site-specifi c factor should be used for perineural invasion.",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00125
Colon and Rectum,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00126
Colon and Rectum,AJCC7,any,N,N0,No regional lymph node metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00126
Colon and Rectum,AJCC7,any,N,N1,Metastasis in 1-3 regional lymph nodes,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00126
Colon and Rectum,AJCC7,any,N,N1a,Metastasis in one regional lymph node,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00126
Colon and Rectum,AJCC7,any,N,N1b,Metastasis in 2-3 regional lymph nodes,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00126
Colon and Rectum,AJCC7,any,N,N1c,"Tumor deposit(s) in the subserosa, mesentery, or nonperitonealized pericolic or perirectal tissues without regional nodal metastasis",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00126
Colon and Rectum,AJCC7,any,N,N2,Metastasis in four or more regional lymph nodes,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00126
Colon and Rectum,AJCC7,any,N,N2a,Metastasis in 4-6 regional lymph nodes,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00126
Colon and Rectum,AJCC7,any,N,N2b,"Metastasis in seven or more regional lymph nodes Note: A satellite peritumoral nodule in the pericolorectal adipose tissue of a primary carcinoma without histologic evidence of residual lymph node in the nodule may repre- sent discontinuous spread, venous invasion with extravascu- lar spread (V1/2), or a totally replaced lymph node (N1/2). Replaced nodes should be counted separately as positive nodes in the N category, whereas discontinuous spread or venous invasion should be classifi ed and counted in the Site- Specifi c Factor category Tumor Deposits (TD).",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00126
Colon and Rectum,AJCC7,any,M,M0,No distant metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00127
Colon and Rectum,AJCC7,any,M,M1,Distant metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00127
Colon and Rectum,AJCC7,any,M,M1a,"Metastasis confi ned to one organ or site (e.g., liver, lung, ovary, nonregional node)",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00127
Colon and Rectum,AJCC7,any,M,M1b,Metastases in more than one organ/site or the peritoneum,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,171,B00127
Colon and Rectum,AJCC7,any,G,GX,Grade cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,172,B00129
Colon and Rectum,AJCC7,any,G,G1,Well differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,172,B00129
Colon and Rectum,AJCC7,any,G,G2,Moderately differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,172,B00129
Colon and Rectum,AJCC7,any,G,G3,Poorly differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,172,B00129
Colon and Rectum,AJCC7,any,G,G4,"Undifferentiated (corresponds to the histologic type “undifferentiated carcinoma” as below) It is recommended that the terms “low-grade” (G1-G2) and “high-grade” (G3-G4) be applied, because data indicate that low and high grade may be associated with outcome indepen- dently of TNM stage group for both colon and rectum adeno- carcinoma. Some authors suggest that G4 lesions be identifi ed separately because they may represent a small subgroup of car- cinomas that are very aggressive. However, these tumors would be designated as “undifferentiated” carcinomas within the clas- sifi cation histologic types shown previously. RESIDUAL TUMOR (R) R0 Complete resection, margins histologically nega- tive, no residual tumor left after resection (primary tumor, regional nodes) R1 Incomplete resection, margins histologically involved, microscopic tumor remains after resection of gross disease (primary tumor, regional nodes) R2 Incomplete resection, margins macroscopically involved or gross disease remains after resection (e.g., primary tumor, regional nodes, or liver metastasis)",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,172,B00129
Colon and Rectum,AJCC7,any,T,T4b,NX N0 N1 N1a N1b N1c N2 N2a N2b,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,177,B00130
Colon and Rectum,AJCC7,any,M,M1b,A NATOMIC S TAGE • P ROGNOSTIC G ROUPS GROUP T N M Dukes* MAC* 0 Tis N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,178,B00132
Colon and Rectum,AJCC7,any,M,M0,- - I T1 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,178,B00132
Colon and Rectum,AJCC7,any,M,M0,A A T2 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,178,B00132
Colon and Rectum,AJCC7,any,M,M0,A B1 IIA T3 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,178,B00132
Colon and Rectum,AJCC7,any,M,M0,B B2 IIB T4a N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,178,B00132
Colon and Rectum,AJCC7,any,M,M0,B B2 IIC T4b N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,178,B00132
Colon and Rectum,AJCC7,any,M,M0,B B3 IIIA T1-T2 N1/N1c,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,178,B00132
Colon and Rectum,AJCC7,any,M,M0,C C1 T1 N2a,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,178,B00132
Colon and Rectum,AJCC7,any,M,M0,C C1 IIIB T3-T4a N1/N1c,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,178,B00132
Colon and Rectum,AJCC7,any,M,M0,C C2 T2-T3 N2a,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,178,B00132
Colon and Rectum,AJCC7,any,M,M0,C C1/C2 T1-T2 N2b,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,178,B00132
Colon and Rectum,AJCC7,any,M,M0,C C1 IIIC T4a N2a,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,178,B00132
Colon and Rectum,AJCC7,any,M,M0,C C2 T3-T4a N2b,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,178,B00132
Colon and Rectum,AJCC7,any,M,M0,C C2 T4b N1-N2,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,178,B00132
Colon and Rectum,AJCC7,any,M,M0,C C3 IVA Any T Any N,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,178,B00132
Colon and Rectum,AJCC7,any,M,M1a,"- - IVB Any T Any N M1b - - *Dukes B is a composite of better (T3 N0 M0) and worse (T4 N0 M0) prognostic groups, as is Dukes C (Any TN1 M0 and Any T N2 M0). MAC is the modified Astler-Coller classification. PATHOLOGIC GROUP T N M Dukes* MAC* 0 Tis N0",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,178,B00132
Anus,AJCC7,any,T,TX,Primary tumor cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,183,B00135
Anus,AJCC7,any,T,T0,No evidence of primary tumor,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,183,B00135
Anus,AJCC7,any,T,Tis,"Carcinoma in situ (Bowen’s disease, high-grade squamous intraepithelial lesion (HSIL), anal intraepithelial neoplasia II-III (AIN II-III)",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,183,B00135
Anus,AJCC7,any,T,T1,Tumor 2 cm or less in greatest dimension (Figure 15.4),extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,183,B00135
Anus,AJCC7,any,T,T2,Tumor more than 2 cm but not more than 5 cm in greatest dimension (Figure 15.5),extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,183,B00135
Anus,AJCC7,any,T,T3,Tumor more than 5 cm in greatest dimension (Figure 15.6),extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,183,B00135
Anus,AJCC7,any,T,T4,"Tumor of any size invades adjacent organ(s), e.g., vagina, urethra, bladder* (Figure 15.7) * Note: Direct invasion of the rectal wall, perirectal skin, sub- cutaneous tissue, or the sphincter muscle(s) is not classifi ed as T4.",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,183,B00135
Anus,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,183,B00136
Anus,AJCC7,any,N,N0,No regional lymph node metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,183,B00136
Anus,AJCC7,any,N,N1,Metastasis in perirectal lymph node(s) (Figure 15.8),extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,183,B00136
Anus,AJCC7,any,N,N2,"Metastasis in unilateral internal iliac and/or ingui- nal lymph node(s) (Figure 15.9A, B)",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,183,B00136
Anus,AJCC7,any,N,N3,Metastasis in perirectal and inguinal lymph nodes and/or bilateral internal iliac and/or inguinal lymph nodes (Figure 15.10A-C),extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,183,B00136
Anus,AJCC7,any,M,M0,No distant metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,183,B00137
Anus,AJCC7,any,M,M1,"Distant metastasis TABLE 15.1. Patient outcome stratifi ed by AJCC stage group and tumor histology (squamous vs. nonsquamous types) Stage group 5-Year survival rate P value Squamous Nonsquamous I 71.4 59.1 0.003 II 63.5 52.9 0.001 IIIA 48.1 37.7 0.085 IIIB 43.2 24.4 0.003 IV 20.9 7.4 0.002 Source: National Cancer Database: Cases diagnosed 1998-1999: n = 3,598. FIGURE 15.3. Stage-related survival for carcinoma of the anal canal. FIGURE 15.4. T1 is defi ned as tumor 2 cm or less in greatest dimension. In order to view this proof accurately, the Overprint Preview Option must be set to Always in Acrobat Professional or Adobe Reader. Please contact your Customer Service Representative if you have questions about finding this option. Job Name: -- /381449t",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,183,B00137
Anus,AJCC7,any,G,GX,Grade cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,185,B00139
Anus,AJCC7,any,G,G1,Well differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,185,B00139
Anus,AJCC7,any,G,G2,Moderately differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,185,B00139
Anus,AJCC7,any,G,G3,Poorly differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,185,B00139
Anus,AJCC7,any,G,G4,Undifferentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,185,B00139
Anus,AJCC7,any,T,T4,NX N0 N1 N2 N3,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,187,B00140
Anus,AJCC7,any,N,N3,M0 M1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,187,B00141
Anus,AJCC7,any,M,M1,A NATOMIC S TAGE • P ROGNOSTIC G ROUPS GROUP T N M 0 Tis N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,187,B00142
Anus,AJCC7,any,M,M0,I T1 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,187,B00142
Anus,AJCC7,any,M,M0,II T2 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,187,B00142
Anus,AJCC7,any,M,M0,T3 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,187,B00142
Anus,AJCC7,any,M,M0,IIIA T1 N1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,187,B00142
Anus,AJCC7,any,M,M0,T2 N1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,187,B00142
Anus,AJCC7,any,M,M0,T3 N1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,187,B00142
Anus,AJCC7,any,M,M0,T4 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,187,B00142
Anus,AJCC7,any,M,M0,IIIB T4 N1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,187,B00142
Anus,AJCC7,any,M,M0,Any T N2,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,187,B00142
Anus,AJCC7,any,M,M0,Any T N3,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,187,B00142
Anus,AJCC7,any,M,M0,IV Any T Any N,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,187,B00142
Anus,AJCC7,any,M,M1,PATHOLOGIC GROUP T N M 0 Tis N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,187,B00142
Anus,AJCC7,any,M,M1,Stage unknown Stage unknown,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,187,B00142
Gastrointestinal Stromal Tumor,AJCC7,any,T,TX,Primary tumor cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,193,B00145
Gastrointestinal Stromal Tumor,AJCC7,any,T,T0,No evidence for primary tumor,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,193,B00145
Gastrointestinal Stromal Tumor,AJCC7,any,T,T1,Tumor 2 cm or less,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,193,B00145
Gastrointestinal Stromal Tumor,AJCC7,any,T,T2,Tumor more than 2 cm but not more than 5 cm,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,193,B00145
Gastrointestinal Stromal Tumor,AJCC7,any,T,T3,Tumor more than 5 cm but not more than 10 cm,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,193,B00145
Gastrointestinal Stromal Tumor,AJCC7,any,T,T4,Tumor more than 10 cm in greatest dimension,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,193,B00145
Gastrointestinal Stromal Tumor,AJCC7,any,N,N0,No regional lymph node metastasis*,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,193,B00146
Gastrointestinal Stromal Tumor,AJCC7,any,N,N1,"Regional lymph node metastasis *If regional node status is unknown, use N0, not NX",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,193,B00146
Gastrointestinal Stromal Tumor,AJCC7,any,M,M0,No distant metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,193,B00147
Gastrointestinal Stromal Tumor,AJCC7,any,M,M1,Distant metastasis HISTOPATHOLOGIC GRADE Grading for GISTs is dependent on mitotic rate Low mitotic rate: 5 or fewer per 50 HPF High mitotic rate: over 5 per 50 HPF,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,193,B00147
