form_id,cancer_site_or_form,supplement_pages,has_tnm_definitions,has_stage_group,no_prognostic_stage_group,stage_group_sections_detected,t_categories_defined,n_categories_defined,m_categories_defined,required_inputs_in_stage_table,stage_table_risk_flags,tool_model_recommendation,tnm_first_strategy,exception_category,release_status,tnm_default_policy
59.0,Testis,340-345,True,True,False,single/shared table,TX Tis T4,N0 N1 N2 N3,M0 M1 M1a M1b MX,,stage table uses M subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
60.0,Kidney,346-349,True,True,False,single/shared table,TX T0 T1 T1a T1b T2 T2a T2b T3 T3a T3b T3c T4,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
62.1,Urinary Bladder: Urothelial Carcinomas,360-363,True,True,False,single/shared table,TX T0 Tis Ta T1 T2 T2a T2b T3 T3a T3b T4 T4a T4b,NX N0 N1 N2 N3,M0 M1a M1b MX,,stage table uses T subcategories; stage table uses M subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
62.2,Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma,364-368,True,True,False,single/shared table,TX T0 Tis Ta T1 T2 T2a T2b T3 T3a T3b T4 T4a T4b,NX N0 N1 N2 N3,M0 M1a M1b MX,,stage table uses T subcategories; stage table uses M subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
63.1,Male Penile Urethra and Female Urethra: Urothelial Carcinomas,370-374,True,True,False,single/shared table,TX T0 Tis Ta T1 T2 T3 T4,NX N0 N1 N2,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
63.2,Male Penile and Female Urethra: Squamous Cell Carcinoma and Adenocarcinoma,375-379,True,True,False,single/shared table,TX T0 Tis Ta T1 T2 T3 T4,NX N0 N1 N2,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
63.3,Prostatic Urethra: Urothelial Carcinomas,380-384,True,True,False,single/shared table,TX T0 Tis Ta T1 T2 T3 T4,NX N0 N1 N2,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
63.4,Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma,385-389,True,True,False,single/shared table,TX T0 Tis Ta T1 T2 T3 T4,NX N0 N1 N2,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
64.0,Eyelid Carcinoma,390-393,True,True,False,single/shared table,TX T0 Tis T1 T1a T1b T1c T2 T2a T2b T2c T3 T3a T3b T3c T4 T4a T4b,NX N0 N1 N1a N1b N2 N2a N2b,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
65.0,Conjunctival Carcinoma,394-398,True,True,False,single/shared table,TX T0 Tis T1 T2 T3 T4 T4a T4b T4c T4d,NX N0 N1,MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
66.0,Conjunctival Melanoma,399-403,True,True,False,single/shared table,TX T0 Tis T1 T1a T1b T1c T1d T2 T2a T2b T2c T2d T3 T3a T3b T3c T3d T4,NX N0 N1,MX,histology,requires histology,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
67.1,Uveal Melanoma – Iris Melanoma,405-409,True,True,False,single/shared table,TX T0 T1 T1a T1b T1c T2 T2a T2b T2c T3 T4 T4a T4b,NX N0 N1 N1a N1b,MX,histology,requires histology,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
67.2,Uveal Melanoma – Choroidal and Ciliary Body Melanoma,410-415,True,True,False,single/shared table,TX T0 T1 T1a T1b T1c T1d T2 T2a T2b T2c T2d T3 T3a T3b T3c T3d T4 T4a T4b T4c T4d T4e,NX N0 N1 N1a N1b,M0 M1a MX,histology,stage table uses T subcategories; stage table uses M subcategories; requires histology,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
68.0,Retinoblastoma,416-421,True,True,False,clinical/cTNM; pathological/pTNM,,,MX,heritable trait/H,stage table uses T subcategories; separate stage tables by classification; requires heritable trait/H,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
69.0,Lacrimal Gland Carcinoma,422-426,True,True,False,single/shared table,TX T0 T1 T1a T1b T1c T2 T2a T2b T2c T3 T3a T3b T3c T4 T4a T4b T4c,NX N0 N1,MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
70.0,Orbital Sarcoma,427-430,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,NX N0 N1,MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
71.0,Ocular Adnexal Lymphoma,431-434,True,True,True,none,TX T0 T1 T2 T3 T4,NX N0 N1 N1a N1b N2 N3,M1a M1b MX,,no prognostic stage grouping,No stage-group calculation; show note.,exception_note_only,No prognostic stage group / histology redirect,note_or_redirect_only,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
72.0,Brain and Spinal Cord,435-437,True,True,False,single/shared table,,,,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
73.1,Thyroid – Differentiated,439-443,True,True,False,single/shared table,TX T0 T1 T1a T1b T2 T3 T3a T3b T4 T4a T4b,NX N0 N1 N1a N1b N0a N0b,M0 M1 MX,age,stage table uses T subcategories; requires age,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
73.2,Thyroid – Anaplastic,444-447,True,True,False,single/shared table,TX T0 T1 T1a T1b T2 T3 T3a T3b T4 T4a T4b,NX N0 N1 N1a N1b N0a N0b,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
74.0,Thyroid – Medullary,448-451,True,True,False,single/shared table,TX T0 T1 T1a T1b T2 T3 T3a T3b T4 T4a T4b,NX N0 N1 N1a N1b N0a N0b,M0 M1 MX,,stage table uses N subcategories; stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
75.0,Parathyroid,452-455,True,True,False,single/shared table,TX T0 Tis T1 T2 T3 T4,NX N0 N1 N1a N1b,MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
76.0,Adrenal Cortical Carcinoma,456-459,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
77.0,Adrenal – Neuroendocrine Tumors,460-463,True,True,False,single/shared table,TX T1 T2 T3,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
79.0,Non-Hodgkin Lymphomas: Unspecified or Other Type,465-467,True,True,False,single/shared table,,,,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
79.1,Non-Hodgkin Lymphomas: Diffuse Large B Cell Lymphoma,468-470,True,True,False,single/shared table,,,,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
79.2,Non-Hodgkin Lymphomas: Mantle Cell Lymphoma,471-473,True,True,False,single/shared table,,,,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
79.3,Non-Hodgkin Lymphomas: Follicular Lymphoma,474-476,True,True,False,single/shared table,,,,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
79.4,Non-Hodgkin Lymphomas: Marginal Zone Lymphoma,477-479,True,True,False,single/shared table,,,,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
79.5,Non-Hodgkin Lymphomas: Chronic Lymphocytic Leukemia and Small Lymphocytic,480-482,True,True,False,single/shared table,,,,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
79.6,Non-Hodgkin Lymphomas: Peripheral T-cell Lymphoma,483-485,True,True,False,single/shared table,,,,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
79.7,Hodgkin Lymphoma,486-488,True,True,False,single/shared table,,,,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
80.1,Pediatric Hodgkin Lymphoma,490-492,True,True,False,single/shared table,,,,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
80.2,Pediatric Non-Hodgkin Lymphoma,493-495,True,True,False,single/shared table,,,,tumor location/site,requires tumor location/site,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
81.1,Primary Cutaneous Lymphoma: Mycosis Fungoides and Sézary Syndrome,497-501,True,True,False,single/shared table,T1 T1a T1b T2 T2a T2b T3 T4,NX N0 N1 N1a N1b N2 N2a N2b N3,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
81.2,Primary Cutaneous Lymphoma: Primary Cutaneous B-Cell/T-Cell (non-MF/SS),502-504,True,True,False,single/shared table,T1 T1a T1b T2 T2a T2b T2c T3 T3a T3b,NX N0 N1 N2 N3,MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
82.0,Plasma Cell Myeloma and Plasma Cell Disorders,505-507,True,True,False,single/shared table,,,,LDH,requires LDH,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
