term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note,page
Malaise,General disorders and administration site conditions,CTCAE v6.0,,Uneasiness or lack of well being,Uneasiness or lack of well being limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Uneasiness or lack of well being limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,"A disorder characterized by a feeling of general discomfort or uneasiness, an out-of-sorts feeling.",-,88
Multi-organ failure,General disorders and administration site conditions,CTCAE v6.0,,-,-,Shock with azotemia and acid-base disturbances; significant coagulation abnormalities,"Life-threatening consequences (e.g., vasopressor dependent and oliguric or anuric or ischemic colitis or lactic acidosis)",Death,"A disorder characterized by progressive deterioration of the lungs, liver, kidney and clotting mechanisms.",-,89
Non-cardiac chest pain,General disorders and administration site conditions,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in the chest unrelated to a heart disorder.,Record final diagnosis/cause once determined.,89
Pain,General disorders and administration site conditions,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,"A disorder characterized by the sensation of marked discomfort, distress or agony.",Prior to using this term consider using a specific body part pain term found throughout the CTCAE (over 40 different pain terms). Record final diagnosis/cause once determined.,89
Peripheral edema,General disorders and administration site conditions,CTCAE v6.0,,Swelling or obscuration of anatomic architecture on close inspection,Readily apparent obscuration of anatomic architecture; obliteration of skin folds; readily apparent deviation from normal anatomic contour; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Gross deviation from normal anatomic contour; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by swelling due to excessive fluid accumulation in the body periphery.,Consider Cardiac disorders: Heart failure; Record final diagnosis/cause once determined.,90
Pneumatosis,General disorders and administration site conditions,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; medical intervention indicated,Severe symptoms; operative intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A finding of gas in the bowel wall.,-,90
Sudden death NOS,General disorders and administration site conditions,CTCAE v6.0,,-,-,-,-,Death,An unexpected death that cannot be attributed to a CTCAE term associated with Grade 5.,"If death is due to an AE (ex., Cardiac disorders: Cardiac arrest), report as a Grade 5 event under that AE.",90
Vaccination site lymphadenopathy,General disorders and administration site conditions,CTCAE v6.0,,Local lymph node enlargement,Localized ulceration; generalized lymph node enlargement,-,-,-,A disorder characterized by lymph node enlargement after vaccination.,-,91
Bile duct stenosis,Hepatobiliary disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function; IV fluids indicated <24 hrs,Severely altered GI function; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a narrowing of the lumen of the bile duct.,-,92
Biliary fistula,Hepatobiliary disorders,CTCAE v6.0,,-,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the bile ducts and another organ or anatomic site.,-,92
Biliary obstruction,Hepatobiliary disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function; IV fluids indicated <24 hrs,Symptomatic and severely altered GI function; hospitalization indicated; non-emergent operative intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by blockage of the normal flow of the normal flow of bile.,-,92
Budd-Chiari syndrome,Hepatobiliary disorders,CTCAE v6.0,,-,Medical management indicated,Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; asterixis; mild encephalopathy,Life-threatening consequences; moderate to severe encephalopathy; coma,Death,"A disorder characterized by occlusion of the hepatic veins and typically presents with abdominal pain, ascites and hepatomegaly.",-,93
Cholecystitis,Hepatobiliary disorders,CTCAE v6.0,,-,Symptomatic; medical intervention indicated,Severe symptoms; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by inflammation involving the gallbladder. It may be associated with the presence of gallstones.,-,93
Gallbladder fistula,Hepatobiliary disorders,CTCAE v6.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the gallbladder and another organ or anatomic site.,-,93
Gallbladder necrosis,Hepatobiliary disorders,CTCAE v6.0,,-,-,-,Life-threatening consequences; urgent invasive intervention indicated,Death,A disorder characterized by a necrotic process occurring in the gallbladder.,-,94
Gallbladder obstruction,Hepatobiliary disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function; IV fluids indicated <24 hrs,Symptomatic and severely altered GI function; hospitalization indicated; non-emergent operative intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by blockage of the normal flow of the contents of the gallbladder.,-,94
Gallbladder pain,Hepatobiliary disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in the gallbladder region.,Record final diagnosis/cause once determined.,94
Gallbladder perforation,Hepatobiliary disorders,CTCAE v6.0,,-,-,-,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a rupture in the gallbladder wall.,-,95
Hepatic failure,Hepatobiliary disorders,CTCAE v6.0,,-,-,Asterixis; mild encephalopathy; drug- induced liver injury (DILI); limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; moderate to severe encephalopathy; coma,Death,"A disorder characterized by the inability of the liver to metabolize chemicals in the body. Laboratory test results reveal abnormal plasma levels of ammonia, bilirubin, lactic dehydrogenase, alkaline phosphatase, aminotransferase, and/or prolongation of prothrombin time (INR.) Drug-induced liver injury (DILI) as defined by Hy's Law.",-,95
Hepatic hemorrhage,Hepatobiliary disorders,CTCAE v6.0,,Mild symptoms; intervention not indicated,Moderate symptoms; intervention indicated,Hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the liver.,-,95
Hepatic necrosis,Hepatobiliary disorders,CTCAE v6.0,,-,-,-,Life-threatening consequences; urgent invasive intervention indicated,Death,A disorder characterized by a necrotic process occurring in the hepatic parenchyma.,-,96
Hepatic pain,Hepatobiliary disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in the liver region.,Record final diagnosis/cause once determined.,96
Hepatitis,Hepatobiliary disorders,CTCAE v6.0,,-,Moderate symptoms; medical intervention indicated,Symptomatic liver dysfunction; compensated cirrhosis; hospitalization or prolongation of existing hospitalization indicated,"Life-threatening consequences; severe decompensated liver function (e.g., coagulopathy, encephalopathy, coma)",Death,A disorder characterized by inflammation of the liver.,"Consider Infections and infestations: Hepatitis viral, Hepatobiliary disorders: Hepatic failure. Report Autoimmune hepatitis under Hepatobiliary disorders: Other, specify.",96
"Hepatobiliary disorders - Other, specify",Hepatobiliary disorders,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,-,-,97
Perforation bile duct,Hepatobiliary disorders,CTCAE v6.0,,-,-,Invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a rupture in the wall of the extrahepatic or intrahepatic bile duct.,-,97
Portal hypertension,Hepatobiliary disorders,CTCAE v6.0,,-,Decreased portal vein flow,Reversal/retrograde portal vein flow; associated with varices and/or ascites,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an increase in blood pressure in the portal venous system.,-,97
Portal vein thrombosis,Hepatobiliary disorders,CTCAE v6.0,,-,Intervention not indicated,Medical intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by the formation of a thrombus (blood clot) in the portal vein.,-,98
Sinusoidal obstruction syndrome,Hepatobiliary disorders,CTCAE v6.0,,-,"Blood bilirubin 2 - 5 mg/dL; minor interventions required (i.e., blood product, diuretic, oxygen)","Blood bilirubin >5 mg/dL; coagulation modifier indicated (e.g., defibrotide); reversal of flow on ultrasound","Life-threatening consequences (e.g., ventilatory support, dialysis, plasmapheresis, peritoneal drainage)",Death,A disorder characterized by severe hepatic injury as a result of the blood vessels of the liver becoming inflamed and/or blocked.,-,98
Allergic reaction,Immune system disorders,CTCAE v6.0,,Systemic intervention not indicated,Oral intervention indicated,Bronchospasm; hospitalization indicated for clinical sequelae; IV intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an adverse general response from exposure to an allergen.,"If related to infusion, consider Injury, poisoning and procedural complications: Infusion related reaction. If related to immunization, consider Injury, poisoning and procedural complications: Systemic post-immunization reaction. Do not report both.",99
Anaphylaxis,Immune system disorders,CTCAE v6.0,,-,-,"Symptomatic bronchospasm, with or without urticaria; parenteral intervention indicated; allergy-related edema/angioedema; hypotension",Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by an acute inflammatory reaction resulting from the release of histamine and histamine-like substances from mast cells, causing a hypersensitivity immune response. Clinically, it presents with breathing difficulty, dizziness, hypotension, cyanosis and loss of consciousness and may lead to death.","If related to infusion, consider Injury, poisoning and procedural complications: Infusion related reaction. Do not report both.",99
Autoimmune disorder,Immune system disorders,CTCAE v6.0,,"Asymptomatic; serologic or other evidence of autoimmune reaction, with normal organ function; intervention not indicated","Evidence of autoimmune reaction involving a non- essential organ or function (e.g., hypothyroidism)","Autoimmune reactions involving major organ (e.g., colitis, anemia, myocarditis, kidney)",Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by loss of function or tissue destruction of an organ or multiple organs, arising from humoral or cellular immune responses of the individual to his own tissue constituents.",Prior to using this term consider specific autoimmune AEs.,100
Cytokine release syndrome,Immune system disorders,CTCAE v6.0,,Fever with or without constitutional symptoms,Hypotension responding to fluids; hypoxia requiring low- flow nasal cannula or blow- by,"Hypotension managed with one pressor; hypoxia requiring high-flow nasal cannula, facemask, nonrebreather mask, or Venturi mask",Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by fever, tachypnea, headache, tachycardia, hypotension, rash, and/or hypoxia caused by the release of cytokines.","Consider reporting other organ dysfunctions including neurological toxicities such as: Psychiatric disorders: Confusion, Hallucinations; Nervous system disorders: Dysphasia, Headache, Seizure, Tremor.",100
Graft versus host disease,Immune system disorders,CTCAE v6.0,,-,Oral intervention indicated,IV intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by donor cells attacking the recipient's organs.,-,100
"Immune system disorders - Other, specify",Immune system disorders,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,-,"Use for diagnoses not present in CTCAE (ex. Sjogren's syndrome, etc.).",101
Secondary hemophagocytic lymphohistiocytosis,Immune system disorders,CTCAE v6.0,,Asymptomatic or mild symptoms; requiring clinical and/or diagnostic evaluation; intervention not indicated,"Moderate symptoms; intervention indicated (e.g., immunosuppressive agents)",Severe or medically significant but not immediately life threatening; hospitalization or prolongation of existing hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by the development of a pathological and biochemical hyperinflammatory syndrome characterized by fever, cytopenias, hyperferritinemia, coagulopathy, hypofibrinogenemia and/or transaminitis and is attributable to therapy.",-,101
Serum sickness,Immune system disorders,CTCAE v6.0,,Clinical or diagnostic observations only; intervention not indicated,"Moderate arthralgia; fever, rash, urticaria, antihistamines indicated",Severe arthralgia or arthritis; extensive rash; steroids or IV fluids indicated,Life-threatening consequences; pressor or ventilatory support indicated,Death,"A disorder characterized by a delayed-type hypersensitivity reaction to foreign proteins derived from an animal serum. It occurs approximately six to twenty-one days following the administration of the foreign antigen. Symptoms include fever, arthralgias, myalgias, skin eruptions, lymphadenopathy, chest marked discomfort and dyspnea.",-,102
Abdominal infection,Infections and infestations,CTCAE v6.0,,-,"Oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the abdominal cavity.,-,103
Anorectal infection,Infections and infestations,CTCAE v6.0,,"Localized, local intervention indicated","Oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the anal area and the rectum.,-,103
Appendicitis,Infections and infestations,CTCAE v6.0,,-,-,"IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by acute inflammation to the vermiform appendix caused by a pathogenic agent.,-,103
Appendicitis perforated,Infections and infestations,CTCAE v6.0,,-,-,Medical intervention indicated; operative intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by acute inflammation to the vermiform appendix caused by a pathogenic agent with gangrenous changes resulting in the rupture of the appendiceal wall. The appendiceal wall rupture causes the release of inflammatory and bacterial contents from the appendiceal lumen into the abdominal cavity.,-,104
Arteritis infective,Infections and infestations,CTCAE v6.0,,-,-,"IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving an artery.,-,104
Aseptic meningitis,Infections and infestations,CTCAE v6.0,,-,-,Steroid therapy indicated; severe changes in mental status; self-limited seizure activity; neurologic abnormalities,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an inflammatory process of the meninges of the brain and/or spinal cord.,Consider Infections and infestations: Meningitis.,104
Bacteremia,Infections and infestations,CTCAE v6.0,,-,Blood culture positive with no signs or symptoms,-,-,-,A disorder characterized by the presence of bacteria in the blood stream.,"Grade 2 with hospitalization is acceptable; Consider Infections and infestations: Sepsis (Grades 3, 4 & 5).",105
Biliary tract infection,Infections and infestations,CTCAE v6.0,,-,"Oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the biliary tract.,-,105
Bladder infection,Infections and infestations,CTCAE v6.0,,-,"Oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the bladder.,-,105
Bone infection,Infections and infestations,CTCAE v6.0,,-,"Oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the bones.,-,105
Breast infection,Infections and infestations,CTCAE v6.0,,-,"Local infection with moderate symptoms; oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; severe infection; axillary adenitis",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the breast.,-,106
Bronchial infection,Infections and infestations,CTCAE v6.0,,-,"Moderate symptoms; oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the bronchi.,-,106
Candidiasis,Infections and infestations,CTCAE v6.0,,Asymptomatic; local symptom management indicated,"Oral intervention indicated (e.g., antifungal)",IV antifungal intervention indicated,Life-threatening consequences,Death,A disorder characterized by a fungal infection caused by candida.,If recovered in bloodstream report as Infections and infestations: Fungemia.,106
Catheter related infection,Infections and infestations,CTCAE v6.0,,-,"Localized; local intervention indicated; oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process that involves a catheter or port.,"If related to a device other than a catheter or port, use Infections and infestations: Device related infection.",107
Cecal infection,Infections and infestations,CTCAE v6.0,,-,"Localized; oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the cecum.,-,107
Cervicitis infection,Infections and infestations,CTCAE v6.0,,-,"Localized; local intervention indicated (e.g., topical antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the uterine cervix.,-,107
Conjunctivitis,Infections and infestations,CTCAE v6.0,,Asymptomatic or mild symptoms; intervention not indicated,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline),"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric)",Best corrected visual acuity of 20/200 or worse in the affected eye,-,"A disorder characterized by inflammation, swelling and redness to the conjunctiva of the eye.",Consider Infections and infestations: Conjunctivitis infective if caused by infection.,108
Conjunctivitis infective,Infections and infestations,CTCAE v6.0,,-,"Localized; local intervention indicated (e.g., topical antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,-,A disorder characterized by an infectious process involving the conjunctiva. Clinical manifestations include pink or red color in the eyes.,-,108
Corneal infection,Infections and infestations,CTCAE v6.0,,-,"Localized; local intervention indicated (e.g., topical antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the cornea.,-,108
Cranial nerve infection,Infections and infestations,CTCAE v6.0,,-,-,"IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving a cranial nerve.,-,109
Cytomegalovirus infection reactivation,Infections and infestations,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; medical intervention indicated,Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; IV intervention indicated,Life-threatening consequences; urgent intervention indicated; blindness,Death,A disorder characterized by the reactivation of cytomegalovirus (CMV).,Synonym: CMV,109
Device related infection,Infections and infestations,CTCAE v6.0,,-,"Oral intervention indicated (e.g., antibiotic, antifungal)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the use of a medical device.,"If related to a catheter or port, use Infections and infestations: Catheter related infection.",109
Duodenal infection,Infections and infestations,CTCAE v6.0,,-,"Moderate symptoms; medical intervention indicated (e.g., oral antibiotics)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the duodenum.,-,110
Encephalitis,Infections and infestations,CTCAE v6.0,,-,-,"IV antibiotic, antifungal, or antiviral intervention indicated; steroid therapy indicated; severe changes in mental status; self-limited seizure activity; neurologic abnormalities",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious or inflammatory process involving the brain tissue.,-,110
Encephalomyelitis,Infections and infestations,CTCAE v6.0,,-,-,"IV antibiotic, antifungal, or antiviral intervention indicated; steroid therapy indicated; severe changes in mental status; self-limited seizure activity; neurologic abnormalities",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious or inflammatory process involving the brain and spinal cord tissues.,-,110
Endocarditis infective,Infections and infestations,CTCAE v6.0,,-,-,"IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the endocardial layer of the heart.,-,111
Endophthalmitis,Infections and infestations,CTCAE v6.0,,-,Local intervention indicated,Systemic intervention; hospitalization indicated,Best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by an infectious process involving the internal structures of the eye.,-,111
Enterocolitis infectious,Infections and infestations,CTCAE v6.0,,-,"Passage of >3 unformed stools per 24 hrs or duration of illness >48 hrs; moderate abdominal pain; oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated; profuse watery diarrhea with signs of hypovolemia; bloody diarrhea; fever; severe abdominal pain; hospitalization indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the small and/or large intestines.,"Includes Clostridioides difficile (c. diff, c. difficile). Consider Gastrointestinal disorders: Typhlitis, Infections and infestations: Cecal infection.",111
Epstein-Barr virus infection reactivation,Infections and infestations,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; medical intervention indicated,Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; IV intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by the reactivation of Epstein-Barr virus (EBV).,Synonym: EBV,112
Esophageal infection,Infections and infestations,CTCAE v6.0,,-,"Local intervention indicated (e.g., oral antibiotic, antifungal, antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the esophagus.,-,112
Eye infection,Infections and infestations,CTCAE v6.0,,-,"Localized; local intervention indicated (e.g., topical antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated; enucleation,Death,A disorder characterized by an infectious process involving the eye.,-,112
Folliculitis,Infections and infestations,CTCAE v6.0,,No intervention indicated,Topical intervention initiated,Systemic intervention indicated,-,-,A disorder characterized by inflammation or infection of the hair follicles.,-,113
Fungemia,Infections and infestations,CTCAE v6.0,,-,Moderate symptoms; medical intervention indicated,Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated,-,-,A disorder characterized by the presence of fungus in the blood stream.,-,113
Gallbladder infection,Infections and infestations,CTCAE v6.0,,-,"Oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the gallbladder.,-,113
Gum infection,Infections and infestations,CTCAE v6.0,,Local therapy indicated (swish and swallow),"Moderate symptoms; oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the gums.,-,114
Hepatic infection,Infections and infestations,CTCAE v6.0,,-,"Moderate symptoms; oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the liver.,-,114
Hepatitis B reactivation,Infections and infestations,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; medical intervention indicated,Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; IV intervention indicated,"Life-threatening consequences; urgent intervention indicated; severe decompensated liver function (e.g., coagulopathy, encephalopathy, coma)",Death,A disorder characterized by the reactivation of hepatitis B virus.,-,114
Hepatitis viral,Infections and infestations,CTCAE v6.0,,"Asymptomatic, intervention not indicated",Moderate symptoms; medical intervention indicated,Symptomatic liver dysfunction; fibrosis by biopsy; compensated cirrhosis; hospitalization or prolongation of existing hospitalization indicated,"Life-threatening consequences; severe decompensated liver function (e.g., coagulopathy, encephalopathy, coma)",Death,A disorder characterized by a viral pathologic process involving the liver parenchyma.,-,115
Herpes simplex reactivation,Infections and infestations,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; medical intervention indicated,Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; IV intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by the reactivation of Herpes simplex virus.,-,115
"Infections and infestations - Other, specify",Infections and infestations,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,-,-,116
Infective myositis,Infections and infestations,CTCAE v6.0,,-,"Localized; local intervention indicated (e.g., topical antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the skeletal muscles.,-,116
Joint infection,Infections and infestations,CTCAE v6.0,,-,"Localized; local intervention indicated; oral intervention indicated (e.g., antibiotic, antifungal, or antiviral); needle aspiration indicated (single or multiple)","Arthroscopic intervention indicated (e.g., drainage) or arthrotomy (e.g., open surgical drainage)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving a joint.,-,117
Kidney infection,Infections and infestations,CTCAE v6.0,,-,"Oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the kidney.,-,117
Laryngitis,Infections and infestations,CTCAE v6.0,,-,"Moderate symptoms; oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an inflammatory process involving the larynx.,"For symptoms and no intervention, consider Respiratory, thoracic and mediastinal disorders: Hoarseness, Sore throat.",117
Lip infection,Infections and infestations,CTCAE v6.0,,"Localized, local intervention indicated","Oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",-,-,A disorder characterized by an infectious process involving the lips.,-,118
Lymph gland infection,Infections and infestations,CTCAE v6.0,,-,"Localized; oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the lymph nodes.,-,118
