site,edition,classification,category_type,category,short_definition,detail_note,verification_status
Esophagus / EGJ - squamous,AJCC8,any,T,T2,Tumor invades muscularis propria（侵犯固有肌層）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC8,any,T,T3,Tumor invades adventitia（侵犯外膜）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC8,any,T,T4,Tumor invades adjacent structures（侵犯鄰近構造）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC8,any,T,T4a,"Resectable invasion of pleura, pericardium, azygos vein, diaphragm, or peritoneum（可切除之鄰近構造侵犯；依版本/章節用語）",,checked_v0_7
Esophagus / EGJ - squamous,AJCC8,any,T,T4b,"Unresectable invasion such as aorta, vertebral body, trachea, or major airway（不可切除侵犯，如主動脈、椎體、氣管/主要氣道等）",,checked_v0_7
Esophagus / EGJ - squamous,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC8,any,T,Tis,High-grade dysplasia / carcinoma in situ category for esophageal/EGJ staging（食道／EGJ 高度異生／原位病變）,,checked_v0_7
Exocrine pancreas,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Exocrine pancreas,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Exocrine pancreas,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Exocrine pancreas,AJCC7,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
Exocrine pancreas,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Exocrine pancreas,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Exocrine pancreas,AJCC7,any,T,T1,"Tumor limited to pancreas, ≤2 cm（限於胰臟且 ≤2 cm）",,checked_v0_7
Exocrine pancreas,AJCC7,any,T,T2,"Tumor limited to pancreas, >2 cm（限於胰臟且 >2 cm）",,checked_v0_7
Exocrine pancreas,AJCC7,any,T,T3,Tumor extends beyond pancreas without involvement of celiac axis or SMA（超出胰臟但未侵犯腹腔幹或上腸繫膜動脈）,,checked_v0_7
Exocrine pancreas,AJCC7,any,T,T4,Tumor involves celiac axis or superior mesenteric artery（侵犯腹腔幹或上腸繫膜動脈）,,checked_v0_7
Exocrine pancreas,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Exocrine pancreas,AJCC7,any,T,Tis,"Carcinoma in situ, including PanIN-III（原位癌，含 PanIN-III）",,checked_v0_7
Exocrine pancreas,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Exocrine pancreas,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Exocrine pancreas,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Exocrine pancreas,AJCC8,any,N,N1,Metastasis in 1–3 regional lymph nodes（1–3 顆區域淋巴結轉移）,,checked_v0_7
Exocrine pancreas,AJCC8,any,N,N2,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）,,checked_v0_7
Exocrine pancreas,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Exocrine pancreas,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Exocrine pancreas,AJCC8,any,T,T1,Tumor ≤2 cm in greatest dimension（最大徑 ≤2 cm；依 T1a/T1b/T1c 細分）,,checked_v0_7
Exocrine pancreas,AJCC8,any,T,T1a,Tumor ≤0.5 cm（最大徑 ≤0.5 cm）,,checked_v0_7
Exocrine pancreas,AJCC8,any,T,T1b,Tumor >0.5 cm and <1 cm（最大徑 >0.5 且 <1 cm）,,checked_v0_7
Exocrine pancreas,AJCC8,any,T,T1c,Tumor 1–2 cm（最大徑 1–2 cm）,,checked_v0_7
Exocrine pancreas,AJCC8,any,T,T2,Tumor >2 cm and ≤4 cm（最大徑 >2 且 ≤4 cm）,,checked_v0_7
Exocrine pancreas,AJCC8,any,T,T3,Tumor >4 cm（最大徑 >4 cm）,,checked_v0_7
Exocrine pancreas,AJCC8,any,T,T4,"Tumor involves celiac axis, superior mesenteric artery, and/or common hepatic artery（侵犯腹腔幹、上腸繫膜動脈及/或總肝動脈）",,checked_v0_7
Exocrine pancreas,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Exocrine pancreas,AJCC8,any,T,Tis,Carcinoma in situ / high-grade precursor lesion（原位癌／高度異生前驅病灶）,,checked_v0_7
GIST,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
GIST,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
GIST,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
GIST,AJCC7,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移；GIST 少見，仍需依正式表格與 mitotic rate/site 判讀）,,checked_v0_7
GIST,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
GIST,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
GIST,AJCC7,any,T,T1,Tumor ≤2 cm（腫瘤 ≤2 cm）,,checked_v0_7
GIST,AJCC7,any,T,T2,Tumor >2 cm but ≤5 cm（>2 至 ≤5 cm）,,checked_v0_7
GIST,AJCC7,any,T,T3,Tumor >5 cm but ≤10 cm（>5 至 ≤10 cm）,,checked_v0_7
GIST,AJCC7,any,T,T4,Tumor >10 cm（>10 cm）,,checked_v0_7
GIST,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
GIST,AJCC7,any,T,Tis,"Carcinoma in situ / high-grade dysplasia, according to site-specific wording（原位癌／高度異生，依癌種定義）",,checked_v0_7
GIST,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
GIST,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
GIST,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
GIST,AJCC8,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移；GIST 少見，仍需依正式表格與 mitotic rate/site 判讀）,,checked_v0_7
GIST,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
GIST,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
GIST,AJCC8,any,T,T1,Tumor ≤2 cm（腫瘤 ≤2 cm）,,checked_v0_7
GIST,AJCC8,any,T,T2,Tumor >2 cm but ≤5 cm（>2 至 ≤5 cm）,,checked_v0_7
GIST,AJCC8,any,T,T3,Tumor >5 cm but ≤10 cm（>5 至 ≤10 cm）,,checked_v0_7
GIST,AJCC8,any,T,T4,Tumor >10 cm（>10 cm）,,checked_v0_7
GIST,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
GIST,AJCC8,any,T,Tis,"Carcinoma in situ / high-grade dysplasia, according to site-specific wording（原位癌／高度異生，依癌種定義）",,checked_v0_7
Gallbladder,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Gallbladder,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Gallbladder,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Gallbladder,AJCC7,any,N,N1,"Regional nodes along cystic duct, common bile duct, hepatic artery, and/or portal vein（膽囊管、總膽管、肝動脈及/或門靜脈旁區域淋巴結）",,checked_v0_7
Gallbladder,AJCC7,any,N,N2,"Periaortic, pericaval, SMA, and/or celiac lymph node metastasis（主動脈旁、腔靜脈旁、SMA及/或腹腔淋巴結轉移）",,checked_v0_7
Gallbladder,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Gallbladder,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Gallbladder,AJCC7,any,T,T1,Tumor invades lamina propria or muscle layer（侵犯固有層或肌層）,,checked_v0_7
Gallbladder,AJCC7,any,T,T1a,Tumor invades lamina propria（侵犯固有層）,,checked_v0_7
Gallbladder,AJCC7,any,T,T1b,Tumor invades muscle layer（侵犯肌層）,,checked_v0_7
Gallbladder,AJCC7,any,T,T2,Tumor invades perimuscular connective tissue without extension beyond serosa or into liver（侵犯肌周結締組織，未穿過漿膜且未侵犯肝）,,checked_v0_7
Gallbladder,AJCC7,any,T,T3,Tumor perforates serosa and/or directly invades liver and/or one adjacent organ/structure（穿破漿膜及/或直接侵犯肝或一個鄰近器官/構造）,,checked_v0_7
Gallbladder,AJCC7,any,T,T4,Tumor invades main portal vein/hepatic artery or invades two or more extrahepatic organs/structures（侵犯主門靜脈/肝動脈或兩個以上肝外器官/構造）,,checked_v0_7
Gallbladder,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Gallbladder,AJCC7,any,T,Tis,Carcinoma in situ（原位癌）,,checked_v0_7
Gallbladder,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Gallbladder,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Gallbladder,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Gallbladder,AJCC8,any,N,N1,Metastasis in 1–3 regional lymph nodes（1–3 顆區域淋巴結轉移）,,checked_v0_7
Gallbladder,AJCC8,any,N,N2,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）,,checked_v0_7
Gallbladder,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Gallbladder,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Gallbladder,AJCC8,any,T,T1,Tumor invades lamina propria or muscle layer（侵犯固有層或肌層；依 T1a/T1b 細分）,,checked_v0_7
Gallbladder,AJCC8,any,T,T1a,Tumor invades lamina propria（侵犯固有層）,,checked_v0_7
Gallbladder,AJCC8,any,T,T1b,Tumor invades muscle layer（侵犯肌層）,,checked_v0_7
Gallbladder,AJCC8,any,T,T2,Tumor invades perimuscular connective tissue without extension beyond serosa or into liver（侵犯肌周結締組織，未穿過漿膜且未侵犯肝；依 T2a/T2b 細分）,,checked_v0_7
Gallbladder,AJCC8,any,T,T2a,"Tumor invades perimuscular connective tissue on peritoneal side, without serosal involvement（腹膜側肌周結締組織侵犯，未侵犯漿膜）",,checked_v0_7
Gallbladder,AJCC8,any,T,T2b,"Tumor invades perimuscular connective tissue on hepatic side, without liver involvement（肝側肌周結締組織侵犯，未侵犯肝）",,checked_v0_7
Gallbladder,AJCC8,any,T,T3,Tumor perforates serosa and/or directly invades liver and/or one adjacent organ/structure（穿破漿膜及/或直接侵犯肝或一個鄰近器官/構造）,,checked_v0_7
Gallbladder,AJCC8,any,T,T4,Tumor invades main portal vein/hepatic artery or invades two or more extrahepatic organs/structures（侵犯主門靜脈/肝動脈或兩個以上肝外器官/構造）,,checked_v0_7
Gallbladder,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Gallbladder,AJCC8,any,T,Tis,Carcinoma in situ（原位癌）,,checked_v0_7
HCC / Liver,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
HCC / Liver,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
HCC / Liver,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
HCC / Liver,AJCC7,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
HCC / Liver,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
HCC / Liver,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
HCC / Liver,AJCC7,any,T,T1,Solitary tumor without vascular invasion（單一腫瘤，無血管侵犯）,,checked_v0_7
HCC / Liver,AJCC7,any,T,T2,Solitary tumor with vascular invasion or multiple tumors none >5 cm（單一腫瘤合併血管侵犯，或多發腫瘤且皆 ≤5 cm）,,checked_v0_7
HCC / Liver,AJCC7,any,T,T3a,Multiple tumors with at least one >5 cm（多發腫瘤且至少一顆 >5 cm）,,checked_v0_7
HCC / Liver,AJCC7,any,T,T3b,Tumor involving major branch of portal or hepatic vein（侵犯門靜脈或肝靜脈主要分支）,,checked_v0_7
HCC / Liver,AJCC7,any,T,T4,Tumor directly invades adjacent organs other than gallbladder or perforates visceral peritoneum（直接侵犯膽囊以外鄰近器官或穿破臟層腹膜）,,checked_v0_7
HCC / Liver,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
HCC / Liver,AJCC7,any,T,Tis,"Carcinoma in situ / high-grade dysplasia, according to site-specific wording（原位癌／高度異生，依癌種定義）",,checked_v0_7
HCC / Liver,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
HCC / Liver,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
HCC / Liver,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
HCC / Liver,AJCC8,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
HCC / Liver,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
HCC / Liver,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
HCC / Liver,AJCC8,any,T,T1,Solitary tumor ≤2 cm or >2 cm without vascular invasion（單一腫瘤；依 T1a/T1b 細分）,,checked_v0_7
HCC / Liver,AJCC8,any,T,T1a,Solitary tumor ≤2 cm（單一腫瘤 ≤2 cm）,,checked_v0_7
HCC / Liver,AJCC8,any,T,T1b,Solitary tumor >2 cm without vascular invasion（單一腫瘤 >2 cm，無血管侵犯）,,checked_v0_7
HCC / Liver,AJCC8,any,T,T2,"Solitary tumor >2 cm with vascular invasion, or multiple tumors none >5 cm（單一腫瘤 >2 cm 且有血管侵犯，或多發腫瘤且皆 ≤5 cm）",,checked_v0_7
HCC / Liver,AJCC8,any,T,T3,Multiple tumors with at least one >5 cm（多發腫瘤且至少一顆 >5 cm）,,checked_v0_7
HCC / Liver,AJCC8,any,T,T4,"Tumor involving major portal/hepatic vein branch, adjacent organs other than gallbladder, or perforating visceral peritoneum（侵犯主要門/肝靜脈分支、膽囊以外鄰近器官或穿破臟層腹膜）",,checked_v0_7
HCC / Liver,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
HCC / Liver,AJCC8,any,T,Tis,"Carcinoma in situ / high-grade dysplasia, according to site-specific wording（原位癌／高度異生，依癌種定義）",,checked_v0_7
Intrahepatic bile duct,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Intrahepatic bile duct,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Intrahepatic bile duct,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Intrahepatic bile duct,AJCC7,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
Intrahepatic bile duct,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Intrahepatic bile duct,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Intrahepatic bile duct,AJCC7,any,T,T1,Solitary tumor without vascular invasion（單一腫瘤，無血管侵犯）,,checked_v0_7
Intrahepatic bile duct,AJCC7,any,T,T2,Solitary tumor with vascular invasion or multiple tumors with/without vascular invasion（單一腫瘤合併血管侵犯，或多發腫瘤）,,checked_v0_7
Intrahepatic bile duct,AJCC7,any,T,T3,Tumor perforates visceral peritoneum or directly invades local extrahepatic structures（穿破臟層腹膜或直接侵犯局部肝外構造）,,checked_v0_7
Intrahepatic bile duct,AJCC7,any,T,T4,Tumor with periductal invasion（沿膽管周圍侵犯；AJCC7）,,checked_v0_7
Intrahepatic bile duct,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Intrahepatic bile duct,AJCC7,any,T,Tis,Carcinoma in situ（原位癌）,,checked_v0_7
Intrahepatic bile duct,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Intrahepatic bile duct,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Intrahepatic bile duct,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Intrahepatic bile duct,AJCC8,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
Intrahepatic bile duct,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Intrahepatic bile duct,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Intrahepatic bile duct,AJCC8,any,T,T1,Solitary tumor without vascular invasion（單一腫瘤，無血管侵犯；依 T1a/T1b 細分）,,checked_v0_7
Intrahepatic bile duct,AJCC8,any,T,T1a,Solitary tumor ≤5 cm without vascular invasion（單一腫瘤 ≤5 cm，無血管侵犯）,,checked_v0_7
Intrahepatic bile duct,AJCC8,any,T,T1b,Solitary tumor >5 cm without vascular invasion（單一腫瘤 >5 cm，無血管侵犯）,,checked_v0_7
Intrahepatic bile duct,AJCC8,any,T,T2,"Solitary tumor with intrahepatic vascular invasion or multiple tumors, with/without vascular invasion（單一腫瘤合併肝內血管侵犯，或多發腫瘤）",,checked_v0_7
Intrahepatic bile duct,AJCC8,any,T,T3,Tumor perforates visceral peritoneum（穿破臟層腹膜）,,checked_v0_7
Intrahepatic bile duct,AJCC8,any,T,T4,Tumor directly invades local extrahepatic structures（直接侵犯局部肝外構造）,,checked_v0_7
Intrahepatic bile duct,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Intrahepatic bile duct,AJCC8,any,T,Tis,Carcinoma in situ（原位癌）,,checked_v0_7
NET - appendix,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
NET - appendix,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
NET - appendix,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
NET - appendix,AJCC7,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
NET - appendix,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
NET - appendix,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
NET - appendix,AJCC7,any,T,T1,Tumor ≤2 cm（腫瘤 ≤2 cm）,,checked_v0_7
NET - appendix,AJCC7,any,T,T2,"Tumor >2 cm but ≤4 cm, or extension to cecum by site-specific criteria（>2 至 ≤4 cm，或依部位定義延伸至盲腸）",,checked_v0_7
NET - appendix,AJCC7,any,T,T3,Tumor >4 cm or extension into ileum/mesoappendix by site-specific criteria（>4 cm 或依部位定義侵犯迴腸/闌尾繫膜）,,checked_v0_7
NET - appendix,AJCC7,any,T,T4,Tumor perforates peritoneum or directly invades adjacent organs/structures（穿破腹膜或直接侵犯鄰近器官/構造）,,checked_v0_7
NET - appendix,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
NET - appendix,AJCC7,any,T,Tis,"Carcinoma in situ / high-grade dysplasia, according to site-specific wording（原位癌／高度異生，依癌種定義）",,checked_v0_7
NET - appendix,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
NET - appendix,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
NET - appendix,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
NET - appendix,AJCC8,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
NET - appendix,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
NET - appendix,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
NET - appendix,AJCC8,any,T,T1,Tumor ≤2 cm（腫瘤 ≤2 cm）,,checked_v0_7
NET - appendix,AJCC8,any,T,T2,"Tumor >2 cm but ≤4 cm, or extension to cecum by site-specific criteria（>2 至 ≤4 cm，或依部位定義延伸至盲腸）",,checked_v0_7
NET - appendix,AJCC8,any,T,T3,Tumor >4 cm or extension into ileum/mesoappendix by site-specific criteria（>4 cm 或依部位定義侵犯迴腸/闌尾繫膜）,,checked_v0_7
NET - appendix,AJCC8,any,T,T4,Tumor perforates peritoneum or directly invades adjacent organs/structures（穿破腹膜或直接侵犯鄰近器官/構造）,,checked_v0_7
NET - appendix,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
NET - appendix,AJCC8,any,T,Tis,"Carcinoma in situ / high-grade dysplasia, according to site-specific wording（原位癌／高度異生，依癌種定義）",,checked_v0_7
NET - colon / rectum,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
NET - colon / rectum,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
NET - colon / rectum,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
NET - colon / rectum,AJCC7,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
NET - colon / rectum,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
NET - colon / rectum,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
NET - colon / rectum,AJCC7,any,T,T1,Tumor invades lamina propria or submucosa and is small by site-specific criteria（侵犯固有層或黏膜下層且符合小型定義）,,checked_v0_7
NET - colon / rectum,AJCC7,any,T,T2,Tumor invades muscularis propria or is larger by site-specific criteria（侵犯固有肌層或尺寸較大）,,checked_v0_7
NET - colon / rectum,AJCC7,any,T,T3,Tumor invades through muscularis propria into subserosa/pericolorectal tissue（穿越肌層至漿膜下或結腸/直腸周圍組織）,,checked_v0_7
NET - colon / rectum,AJCC7,any,T,T4,Tumor invades visceral peritoneum or other organs/structures（侵犯臟層腹膜或其他器官/構造）,,checked_v0_7
NET - colon / rectum,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
NET - colon / rectum,AJCC7,any,T,Tis,In situ / dysplasia category when available（原位/異生分類，若適用）,,checked_v0_7
NET - colon / rectum,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
NET - colon / rectum,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
NET - colon / rectum,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
NET - colon / rectum,AJCC8,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
NET - colon / rectum,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
NET - colon / rectum,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
NET - colon / rectum,AJCC8,any,T,T1,Tumor invades lamina propria or submucosa and is small by site-specific criteria（侵犯固有層或黏膜下層且符合小型定義）,,checked_v0_7
NET - colon / rectum,AJCC8,any,T,T2,Tumor invades muscularis propria or is larger by site-specific criteria（侵犯固有肌層或尺寸較大）,,checked_v0_7
NET - colon / rectum,AJCC8,any,T,T3,Tumor invades through muscularis propria into subserosa/pericolorectal tissue（穿越肌層至漿膜下或結腸/直腸周圍組織）,,checked_v0_7
NET - colon / rectum,AJCC8,any,T,T4,Tumor invades visceral peritoneum or other organs/structures（侵犯臟層腹膜或其他器官/構造）,,checked_v0_7
NET - colon / rectum,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
NET - colon / rectum,AJCC8,any,T,Tis,In situ / dysplasia category when available（原位/異生分類，若適用）,,checked_v0_7
NET - duodenum / ampulla,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
NET - duodenum / ampulla,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
NET - duodenum / ampulla,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
NET - duodenum / ampulla,AJCC7,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
NET - duodenum / ampulla,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
NET - duodenum / ampulla,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
NET - duodenum / ampulla,AJCC7,any,T,T1,"Tumor limited to mucosa/submucosa and ≤1 cm, or limited to ampulla/sphincter by site-specific criteria（限於黏膜/黏膜下層且小型，或限於壺腹/括約肌）",,checked_v0_7
NET - duodenum / ampulla,AJCC7,any,T,T2,Tumor invades muscularis propria or >1 cm（侵犯固有肌層或 >1 cm）,,checked_v0_7
NET - duodenum / ampulla,AJCC7,any,T,T3,Tumor invades pancreas or peripancreatic/periduodenal tissues（侵犯胰臟或胰周/十二指腸周邊組織）,,checked_v0_7
NET - duodenum / ampulla,AJCC7,any,T,T4,Tumor invades visceral peritoneum or adjacent organs/structures（侵犯臟層腹膜或鄰近器官/構造）,,checked_v0_7
NET - duodenum / ampulla,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
NET - duodenum / ampulla,AJCC7,any,T,Tis,In situ / dysplasia category when available（原位/異生分類，若適用）,,checked_v0_7
NET - duodenum / ampulla,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
NET - duodenum / ampulla,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
NET - duodenum / ampulla,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
NET - duodenum / ampulla,AJCC8,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
NET - duodenum / ampulla,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
NET - duodenum / ampulla,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
NET - duodenum / ampulla,AJCC8,any,T,T1,"Tumor limited to mucosa/submucosa and ≤1 cm, or limited to ampulla/sphincter by site-specific criteria（限於黏膜/黏膜下層且小型，或限於壺腹/括約肌）",,checked_v0_7
NET - duodenum / ampulla,AJCC8,any,T,T2,Tumor invades muscularis propria or >1 cm（侵犯固有肌層或 >1 cm）,,checked_v0_7
NET - duodenum / ampulla,AJCC8,any,T,T3,Tumor invades pancreas or peripancreatic/periduodenal tissues（侵犯胰臟或胰周/十二指腸周邊組織）,,checked_v0_7
NET - duodenum / ampulla,AJCC8,any,T,T4,Tumor invades visceral peritoneum or adjacent organs/structures（侵犯臟層腹膜或鄰近器官/構造）,,checked_v0_7
NET - duodenum / ampulla,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
