site,edition,category_type,category,definition_status,verification_status,definition
Gallbladder,AJCC7,T,Tis,FOUND,checked_v0_7,Carcinoma in situ（原位癌）
Gallbladder,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Gallbladder,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Gallbladder,AJCC8,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Gallbladder,AJCC8,N,N1,FOUND,checked_v0_7,Metastasis in 1–3 regional lymph nodes（1–3 顆區域淋巴結轉移）
Gallbladder,AJCC8,N,N2,FOUND,checked_v0_7,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）
Gallbladder,AJCC8,T,T1,FOUND,checked_v0_7,Tumor invades lamina propria or muscle layer（侵犯固有層或肌層；依 T1a/T1b 細分）
Gallbladder,AJCC8,T,T1a,FOUND,checked_v0_7,Tumor invades lamina propria（侵犯固有層）
Gallbladder,AJCC8,T,T1b,FOUND,checked_v0_7,Tumor invades muscle layer（侵犯肌層）
Gallbladder,AJCC8,T,T2,FOUND,checked_v0_7,Tumor invades perimuscular connective tissue without extension beyond serosa or into liver（侵犯肌周結締組織，未穿過漿膜且未侵犯肝；依 T2a/T2b 細分）
Gallbladder,AJCC8,T,T2a,FOUND,checked_v0_7,"Tumor invades perimuscular connective tissue on peritoneal side, without serosal involvement（腹膜側肌周結締組織侵犯，未侵犯漿膜）"
Gallbladder,AJCC8,T,T2b,FOUND,checked_v0_7,"Tumor invades perimuscular connective tissue on hepatic side, without liver involvement（肝側肌周結締組織侵犯，未侵犯肝）"
Gallbladder,AJCC8,T,T3,FOUND,checked_v0_7,Tumor perforates serosa and/or directly invades liver and/or one adjacent organ/structure（穿破漿膜及/或直接侵犯肝或一個鄰近器官/構造）
Gallbladder,AJCC8,T,T4,FOUND,checked_v0_7,Tumor invades main portal vein/hepatic artery or invades two or more extrahepatic organs/structures（侵犯主門靜脈/肝動脈或兩個以上肝外器官/構造）
Gallbladder,AJCC8,T,Tis,FOUND,checked_v0_7,Carcinoma in situ（原位癌）
HCC / Liver,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
HCC / Liver,AJCC7,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
HCC / Liver,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
HCC / Liver,AJCC7,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
HCC / Liver,AJCC7,T,T1,FOUND,checked_v0_7,Solitary tumor without vascular invasion（單一腫瘤，無血管侵犯）
HCC / Liver,AJCC7,T,T2,FOUND,checked_v0_7,Solitary tumor with vascular invasion or multiple tumors none >5 cm（單一腫瘤合併血管侵犯，或多發腫瘤且皆 ≤5 cm）
HCC / Liver,AJCC7,T,T3a,FOUND,checked_v0_7,Multiple tumors with at least one >5 cm（多發腫瘤且至少一顆 >5 cm）
HCC / Liver,AJCC7,T,T3b,FOUND,checked_v0_7,Tumor involving major branch of portal or hepatic vein（侵犯門靜脈或肝靜脈主要分支）
HCC / Liver,AJCC7,T,T4,FOUND,checked_v0_7,Tumor directly invades adjacent organs other than gallbladder or perforates visceral peritoneum（直接侵犯膽囊以外鄰近器官或穿破臟層腹膜）
HCC / Liver,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
HCC / Liver,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
HCC / Liver,AJCC8,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
HCC / Liver,AJCC8,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
HCC / Liver,AJCC8,T,T1,FOUND,checked_v0_7,Solitary tumor ≤2 cm or >2 cm without vascular invasion（單一腫瘤；依 T1a/T1b 細分）
HCC / Liver,AJCC8,T,T1a,FOUND,checked_v0_7,Solitary tumor ≤2 cm（單一腫瘤 ≤2 cm）
HCC / Liver,AJCC8,T,T1b,FOUND,checked_v0_7,Solitary tumor >2 cm without vascular invasion（單一腫瘤 >2 cm，無血管侵犯）
HCC / Liver,AJCC8,T,T2,FOUND,checked_v0_7,"Solitary tumor >2 cm with vascular invasion, or multiple tumors none >5 cm（單一腫瘤 >2 cm 且有血管侵犯，或多發腫瘤且皆 ≤5 cm）"
HCC / Liver,AJCC8,T,T3,FOUND,checked_v0_7,Multiple tumors with at least one >5 cm（多發腫瘤且至少一顆 >5 cm）
HCC / Liver,AJCC8,T,T4,FOUND,checked_v0_7,"Tumor involving major portal/hepatic vein branch, adjacent organs other than gallbladder, or perforating visceral peritoneum（侵犯主要門/肝靜脈分支、膽囊以外鄰近器官或穿破臟層腹膜）"
Intrahepatic bile duct,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Intrahepatic bile duct,AJCC7,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Intrahepatic bile duct,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Intrahepatic bile duct,AJCC7,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
Intrahepatic bile duct,AJCC7,T,T1,FOUND,checked_v0_7,Solitary tumor without vascular invasion（單一腫瘤，無血管侵犯）
Intrahepatic bile duct,AJCC7,T,T2,FOUND,checked_v0_7,Solitary tumor with vascular invasion or multiple tumors with/without vascular invasion（單一腫瘤合併血管侵犯，或多發腫瘤）
Intrahepatic bile duct,AJCC7,T,T3,FOUND,checked_v0_7,Tumor perforates visceral peritoneum or directly invades local extrahepatic structures（穿破臟層腹膜或直接侵犯局部肝外構造）
Intrahepatic bile duct,AJCC7,T,T4,FOUND,checked_v0_7,Tumor with periductal invasion（沿膽管周圍侵犯；AJCC7）
Intrahepatic bile duct,AJCC7,T,Tis,FOUND,checked_v0_7,Carcinoma in situ（原位癌）
Intrahepatic bile duct,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Intrahepatic bile duct,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Intrahepatic bile duct,AJCC8,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Intrahepatic bile duct,AJCC8,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
Intrahepatic bile duct,AJCC8,T,T1,FOUND,checked_v0_7,Solitary tumor without vascular invasion（單一腫瘤，無血管侵犯；依 T1a/T1b 細分）
Intrahepatic bile duct,AJCC8,T,T1a,FOUND,checked_v0_7,Solitary tumor ≤5 cm without vascular invasion（單一腫瘤 ≤5 cm，無血管侵犯）
Intrahepatic bile duct,AJCC8,T,T1b,FOUND,checked_v0_7,Solitary tumor >5 cm without vascular invasion（單一腫瘤 >5 cm，無血管侵犯）
Intrahepatic bile duct,AJCC8,T,T2,FOUND,checked_v0_7,"Solitary tumor with intrahepatic vascular invasion or multiple tumors, with/without vascular invasion（單一腫瘤合併肝內血管侵犯，或多發腫瘤）"
Intrahepatic bile duct,AJCC8,T,T3,FOUND,checked_v0_7,Tumor perforates visceral peritoneum（穿破臟層腹膜）
Intrahepatic bile duct,AJCC8,T,T4,FOUND,checked_v0_7,Tumor directly invades local extrahepatic structures（直接侵犯局部肝外構造）
Intrahepatic bile duct,AJCC8,T,Tis,FOUND,checked_v0_7,Carcinoma in situ（原位癌）
NET - appendix,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
NET - appendix,AJCC7,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
NET - appendix,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
NET - appendix,AJCC7,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
NET - appendix,AJCC7,T,T1,FOUND,checked_v0_7,Tumor ≤2 cm（腫瘤 ≤2 cm）
NET - appendix,AJCC7,T,T2,FOUND,checked_v0_7,"Tumor >2 cm but ≤4 cm, or extension to cecum by site-specific criteria（>2 至 ≤4 cm，或依部位定義延伸至盲腸）"
NET - appendix,AJCC7,T,T3,FOUND,checked_v0_7,Tumor >4 cm or extension into ileum/mesoappendix by site-specific criteria（>4 cm 或依部位定義侵犯迴腸/闌尾繫膜）
NET - appendix,AJCC7,T,T4,FOUND,checked_v0_7,Tumor perforates peritoneum or directly invades adjacent organs/structures（穿破腹膜或直接侵犯鄰近器官/構造）
NET - appendix,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
NET - appendix,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
NET - appendix,AJCC8,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
NET - appendix,AJCC8,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
NET - appendix,AJCC8,T,T1,FOUND,checked_v0_7,Tumor ≤2 cm（腫瘤 ≤2 cm）
NET - appendix,AJCC8,T,T2,FOUND,checked_v0_7,"Tumor >2 cm but ≤4 cm, or extension to cecum by site-specific criteria（>2 至 ≤4 cm，或依部位定義延伸至盲腸）"
NET - appendix,AJCC8,T,T3,FOUND,checked_v0_7,Tumor >4 cm or extension into ileum/mesoappendix by site-specific criteria（>4 cm 或依部位定義侵犯迴腸/闌尾繫膜）
NET - appendix,AJCC8,T,T4,FOUND,checked_v0_7,Tumor perforates peritoneum or directly invades adjacent organs/structures（穿破腹膜或直接侵犯鄰近器官/構造）
NET - colon / rectum,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
NET - colon / rectum,AJCC7,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
NET - colon / rectum,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
NET - colon / rectum,AJCC7,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
NET - colon / rectum,AJCC7,T,T1,FOUND,checked_v0_7,Tumor invades lamina propria or submucosa and is small by site-specific criteria（侵犯固有層或黏膜下層且符合小型定義）
NET - colon / rectum,AJCC7,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria or is larger by site-specific criteria（侵犯固有肌層或尺寸較大）
NET - colon / rectum,AJCC7,T,T3,FOUND,checked_v0_7,Tumor invades through muscularis propria into subserosa/pericolorectal tissue（穿越肌層至漿膜下或結腸/直腸周圍組織）
NET - colon / rectum,AJCC7,T,T4,FOUND,checked_v0_7,Tumor invades visceral peritoneum or other organs/structures（侵犯臟層腹膜或其他器官/構造）
NET - colon / rectum,AJCC7,T,Tis,FOUND,checked_v0_7,In situ / dysplasia category when available（原位/異生分類，若適用）
NET - colon / rectum,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
NET - colon / rectum,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
NET - colon / rectum,AJCC8,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
NET - colon / rectum,AJCC8,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
NET - colon / rectum,AJCC8,T,T1,FOUND,checked_v0_7,Tumor invades lamina propria or submucosa and is small by site-specific criteria（侵犯固有層或黏膜下層且符合小型定義）
NET - colon / rectum,AJCC8,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria or is larger by site-specific criteria（侵犯固有肌層或尺寸較大）
NET - colon / rectum,AJCC8,T,T3,FOUND,checked_v0_7,Tumor invades through muscularis propria into subserosa/pericolorectal tissue（穿越肌層至漿膜下或結腸/直腸周圍組織）
NET - colon / rectum,AJCC8,T,T4,FOUND,checked_v0_7,Tumor invades visceral peritoneum or other organs/structures（侵犯臟層腹膜或其他器官/構造）
NET - duodenum / ampulla,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
NET - duodenum / ampulla,AJCC7,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
NET - duodenum / ampulla,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
NET - duodenum / ampulla,AJCC7,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
NET - duodenum / ampulla,AJCC7,T,T1,FOUND,checked_v0_7,"Tumor limited to mucosa/submucosa and ≤1 cm, or limited to ampulla/sphincter by site-specific criteria（限於黏膜/黏膜下層且小型，或限於壺腹/括約肌）"
NET - duodenum / ampulla,AJCC7,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria or >1 cm（侵犯固有肌層或 >1 cm）
NET - duodenum / ampulla,AJCC7,T,T3,FOUND,checked_v0_7,Tumor invades pancreas or peripancreatic/periduodenal tissues（侵犯胰臟或胰周/十二指腸周邊組織）
NET - duodenum / ampulla,AJCC7,T,T4,FOUND,checked_v0_7,Tumor invades visceral peritoneum or adjacent organs/structures（侵犯臟層腹膜或鄰近器官/構造）
NET - duodenum / ampulla,AJCC7,T,Tis,FOUND,checked_v0_7,In situ / dysplasia category when available（原位/異生分類，若適用）
NET - duodenum / ampulla,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
NET - duodenum / ampulla,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
NET - duodenum / ampulla,AJCC8,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
NET - duodenum / ampulla,AJCC8,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
NET - duodenum / ampulla,AJCC8,T,T1,FOUND,checked_v0_7,"Tumor limited to mucosa/submucosa and ≤1 cm, or limited to ampulla/sphincter by site-specific criteria（限於黏膜/黏膜下層且小型，或限於壺腹/括約肌）"
NET - duodenum / ampulla,AJCC8,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria or >1 cm（侵犯固有肌層或 >1 cm）
NET - duodenum / ampulla,AJCC8,T,T3,FOUND,checked_v0_7,Tumor invades pancreas or peripancreatic/periduodenal tissues（侵犯胰臟或胰周/十二指腸周邊組織）
NET - duodenum / ampulla,AJCC8,T,T4,FOUND,checked_v0_7,Tumor invades visceral peritoneum or adjacent organs/structures（侵犯臟層腹膜或鄰近器官/構造）
NET - jejunum / ileum,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
NET - jejunum / ileum,AJCC7,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
NET - jejunum / ileum,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
NET - jejunum / ileum,AJCC7,N,N1,FOUND,checked_v0_7,"Regional lymph node metastasis, or applicable mesenteric nodal mass definition by edition（區域淋巴結轉移；依版本可含腸繫膜淋巴結團塊定義）"
NET - jejunum / ileum,AJCC7,T,T1,FOUND,checked_v0_7,Tumor invades lamina propria or submucosa and is ≤1 cm（侵犯固有層或黏膜下層且 ≤1 cm）
NET - jejunum / ileum,AJCC7,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria or >1 cm（侵犯固有肌層或 >1 cm）
NET - jejunum / ileum,AJCC7,T,T3,FOUND,checked_v0_7,Tumor invades subserosa without serosal penetration（侵犯漿膜下層，未穿透漿膜）
NET - jejunum / ileum,AJCC7,T,T4,FOUND,checked_v0_7,Tumor invades visceral peritoneum/serosa or adjacent organs/structures（侵犯臟層腹膜/漿膜或鄰近構造）
NET - jejunum / ileum,AJCC7,T,Tis,FOUND,checked_v0_7,In situ / dysplasia category when available（原位/異生分類，若適用）
NET - jejunum / ileum,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
NET - jejunum / ileum,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
NET - jejunum / ileum,AJCC8,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
NET - jejunum / ileum,AJCC8,N,N1,FOUND,checked_v0_7,"Regional lymph node metastasis, or applicable mesenteric nodal mass definition by edition（區域淋巴結轉移；依版本可含腸繫膜淋巴結團塊定義）"
NET - jejunum / ileum,AJCC8,N,N2,FOUND,checked_v0_7,Large mesenteric mass and/or extensive nodal deposits by AJCC8 NET criteria（AJCC8 NET 定義之大型腸繫膜團塊及/或廣泛節點沉積）
NET - jejunum / ileum,AJCC8,T,T1,FOUND,checked_v0_7,Tumor invades lamina propria or submucosa and is ≤1 cm（侵犯固有層或黏膜下層且 ≤1 cm）
NET - jejunum / ileum,AJCC8,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria or >1 cm（侵犯固有肌層或 >1 cm）
NET - jejunum / ileum,AJCC8,T,T3,FOUND,checked_v0_7,Tumor invades subserosa without serosal penetration（侵犯漿膜下層，未穿透漿膜）
NET - jejunum / ileum,AJCC8,T,T4,FOUND,checked_v0_7,Tumor invades visceral peritoneum/serosa or adjacent organs/structures（侵犯臟層腹膜/漿膜或鄰近構造）
NET - pancreas,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
NET - pancreas,AJCC7,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
NET - pancreas,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
NET - pancreas,AJCC7,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
NET - pancreas,AJCC7,T,T1,FOUND,checked_v0_7,"Tumor limited to pancreas, ≤2 cm（限於胰臟且 ≤2 cm）"
NET - pancreas,AJCC7,T,T2,FOUND,checked_v0_7,"Tumor limited to pancreas, >2 cm（限於胰臟且 >2 cm）"
NET - pancreas,AJCC7,T,T3,FOUND,checked_v0_7,Tumor extends beyond pancreas without celiac axis/SMA involvement（超出胰臟但未侵犯腹腔幹/SMA）
NET - pancreas,AJCC7,T,T4,FOUND,checked_v0_7,Tumor involves celiac axis or superior mesenteric artery（侵犯腹腔幹或上腸繫膜動脈）
NET - pancreas,AJCC7,T,Tis,FOUND,checked_v0_7,Carcinoma in situ category when applicable（原位病變，若適用）
NET - pancreas,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
NET - pancreas,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
NET - pancreas,AJCC8,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
NET - pancreas,AJCC8,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
NET - pancreas,AJCC8,T,T1,FOUND,checked_v0_7,"Tumor limited to pancreas, <2 cm（限於胰臟且 <2 cm）"
NET - pancreas,AJCC8,T,T2,FOUND,checked_v0_7,Tumor 2–4 cm or invading duodenum/bile duct by site-specific criteria（2–4 cm 或依部位定義侵犯十二指腸/膽管）
NET - pancreas,AJCC8,T,T3,FOUND,checked_v0_7,Tumor >4 cm or invading duodenum or common bile duct（>4 cm 或侵犯十二指腸/總膽管）
NET - pancreas,AJCC8,T,T4,FOUND,checked_v0_7,"Tumor involves celiac axis, superior mesenteric artery, and/or common hepatic artery（侵犯腹腔幹、上腸繫膜動脈及/或總肝動脈）"
NET - stomach,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
NET - stomach,AJCC7,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
NET - stomach,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
NET - stomach,AJCC7,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
NET - stomach,AJCC7,T,T1,FOUND,checked_v0_7,Tumor invades lamina propria or submucosa and is small/limited by site-specific criteria（侵犯固有層或黏膜下層且符合該部位小型/侷限定義）
NET - stomach,AJCC7,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria or is larger by site-specific criteria（侵犯固有肌層或尺寸較大）
NET - stomach,AJCC7,T,T3,FOUND,checked_v0_7,Tumor invades subserosa（侵犯漿膜下層）
NET - stomach,AJCC7,T,T4,FOUND,checked_v0_7,Tumor invades visceral peritoneum/serosa or adjacent structures（侵犯臟層腹膜/漿膜或鄰近構造）
NET - stomach,AJCC7,T,Tis,FOUND,checked_v0_7,In situ / dysplasia category when available（原位/異生分類，若適用）
NET - stomach,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
NET - stomach,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
NET - stomach,AJCC8,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
NET - stomach,AJCC8,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
NET - stomach,AJCC8,T,T1,FOUND,checked_v0_7,Tumor invades lamina propria or submucosa and is small/limited by site-specific criteria（侵犯固有層或黏膜下層且符合該部位小型/侷限定義）
NET - stomach,AJCC8,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria or is larger by site-specific criteria（侵犯固有肌層或尺寸較大）
NET - stomach,AJCC8,T,T3,FOUND,checked_v0_7,Tumor invades subserosa（侵犯漿膜下層）
NET - stomach,AJCC8,T,T4,FOUND,checked_v0_7,Tumor invades visceral peritoneum/serosa or adjacent structures（侵犯臟層腹膜/漿膜或鄰近構造）
Perihilar bile duct,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Perihilar bile duct,AJCC7,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Perihilar bile duct,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Perihilar bile duct,AJCC7,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
Perihilar bile duct,AJCC7,N,N2,FOUND,checked_v0_7,Distant nodal metastasis such as periaortic/pericaval/celiac/SMA nodes in AJCC7 grouping（AJCC7 中遠端淋巴結轉移，如主動脈旁/腔靜脈旁/腹腔/上腸繫膜動脈淋巴結）
Perihilar bile duct,AJCC7,T,T1,FOUND,checked_v0_7,Tumor confined to bile duct with extension up to muscle layer or fibrous tissue（限於膽管，侵犯至肌層或纖維組織）
Perihilar bile duct,AJCC7,T,T2,FOUND,checked_v0_7,Tumor invades beyond bile duct wall or adjacent hepatic parenchyma（侵犯膽管壁外或鄰近肝實質；依 T2a/T2b 細分）
Perihilar bile duct,AJCC7,T,T2a,FOUND,checked_v0_7,Tumor invades beyond bile duct wall to surrounding adipose tissue（侵犯膽管壁外至周圍脂肪組織）
Perihilar bile duct,AJCC7,T,T2b,FOUND,checked_v0_7,Tumor invades adjacent hepatic parenchyma（侵犯鄰近肝實質）
Perihilar bile duct,AJCC7,T,T3,FOUND,checked_v0_7,Tumor invades unilateral branches of portal vein or hepatic artery（侵犯單側門靜脈或肝動脈分支）
Perihilar bile duct,AJCC7,T,T4,FOUND,checked_v0_7,"Tumor invades main portal vein or its branches bilaterally, common hepatic artery, bilateral second-order ducts, or unilateral second-order ducts with contralateral vascular involvement（侵犯主門靜脈/雙側分支、總肝動脈、雙側二級膽管或單側二級膽管合併對側血管侵犯）"
Perihilar bile duct,AJCC7,T,Tis,FOUND,checked_v0_7,Carcinoma in situ / high-grade dysplasia（原位癌／高度異生）
Perihilar bile duct,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Perihilar bile duct,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Perihilar bile duct,AJCC8,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Perihilar bile duct,AJCC8,N,N1,FOUND,checked_v0_7,Metastasis in 1–3 regional lymph nodes（1–3 顆區域淋巴結轉移）
Perihilar bile duct,AJCC8,N,N2,FOUND,checked_v0_7,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）
Perihilar bile duct,AJCC8,T,T1,FOUND,checked_v0_7,Tumor confined to bile duct with extension up to muscle layer or fibrous tissue（限於膽管，侵犯至肌層或纖維組織）
Perihilar bile duct,AJCC8,T,T2,FOUND,checked_v0_7,Tumor invades beyond bile duct wall or adjacent hepatic parenchyma（侵犯膽管壁外或鄰近肝實質；依 T2a/T2b 細分）
Perihilar bile duct,AJCC8,T,T2a,FOUND,checked_v0_7,Tumor invades beyond bile duct wall to surrounding adipose tissue（侵犯膽管壁外至周圍脂肪組織）
Perihilar bile duct,AJCC8,T,T2b,FOUND,checked_v0_7,Tumor invades adjacent hepatic parenchyma（侵犯鄰近肝實質）
Perihilar bile duct,AJCC8,T,T3,FOUND,checked_v0_7,Tumor invades unilateral branches of portal vein or hepatic artery（侵犯單側門靜脈或肝動脈分支）
Perihilar bile duct,AJCC8,T,T4,FOUND,checked_v0_7,"Tumor invades main portal vein or its branches bilaterally, common hepatic artery, bilateral second-order ducts, or unilateral second-order ducts with contralateral vascular involvement（侵犯主門靜脈/雙側分支、總肝動脈、雙側二級膽管或單側二級膽管合併對側血管侵犯）"
Perihilar bile duct,AJCC8,T,Tis,FOUND,checked_v0_7,Carcinoma in situ / high-grade dysplasia（原位癌／高度異生）
Rectum,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Rectum,AJCC7,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Rectum,AJCC7,M,M1a,FOUND,checked_v0_7,Metastasis confined to one distant organ or site（單一遠端器官/部位轉移）
Rectum,AJCC7,M,M1b,FOUND,checked_v0_7,Metastases in more than one distant organ/site or the peritoneum（多個遠端器官/部位或腹膜轉移）
Rectum,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Rectum,AJCC7,N,N1,FOUND,checked_v0_7,Metastasis in 1–3 regional lymph nodes or applicable N1 subcategory（1–3 顆區域淋巴結轉移，或符合 N1 子類別）
Rectum,AJCC7,N,N1c,FOUND,checked_v0_7,Tumor deposit(s) without positive regional lymph nodes（無陽性區域淋巴結但有 tumor deposits）
Rectum,AJCC7,N,N2,FOUND,checked_v0_7,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）
Rectum,AJCC7,N,N2a,FOUND,checked_v0_7,Metastasis in 4–6 regional lymph nodes（4–6 顆區域淋巴結轉移）
Rectum,AJCC7,N,N2b,FOUND,checked_v0_7,Metastasis in 7 or more regional lymph nodes（≥7 顆區域淋巴結轉移）
Rectum,AJCC7,T,T1,FOUND,checked_v0_7,Tumor invades submucosa（侵犯黏膜下層）
Rectum,AJCC7,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria（侵犯固有肌層）
Rectum,AJCC7,T,T3,FOUND,checked_v0_7,Tumor invades through muscularis propria into pericolorectal tissues（穿越固有肌層至結腸/直腸周圍組織）
Rectum,AJCC7,T,T4a,FOUND,checked_v0_7,Tumor penetrates to the surface of the visceral peritoneum（穿透至臟層腹膜表面）
Rectum,AJCC7,T,T4b,FOUND,checked_v0_7,Tumor directly invades or adheres to other organs or structures（直接侵犯或沾黏其他器官/構造）
Rectum,AJCC7,T,Tis,FOUND,checked_v0_7,Carcinoma in situ: intraepithelial or invasion of lamina propria（原位癌；上皮內或侵犯固有層）
Rectum,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Rectum,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Rectum,AJCC8,M,M1a,FOUND,checked_v0_7,Metastasis to one distant organ/site without peritoneal metastasis（單一遠端器官/部位且無腹膜轉移）
