site,edition,classification,t,n,m,grade,location,stage,note
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,AJCC8,any,T2b,N0,M0,Any,Any,IIB,source_page=216; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Choroidal and Ciliary Body Melanoma
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,AJCC8,yp,T3a,N0,M0,Any,Any,IIB,source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IIB | HISTOPATHOLOGIC TYPE; duplicate_source_page=216 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Choroidal and Ciliary Body Melanoma
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,AJCC8,yp,T2c-d,N0,M0,Any,Any,IIB,source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IIIA | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Choroidal and Ciliary Body Melanoma
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,AJCC8,yp,T2c-d,N0,M0,Any,Any,IIIA,source_page=216; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Choroidal and Ciliary Body Melanoma
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,AJCC8,yp,T3b|T3c,N0,M0,Any,Any,IIIA,source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IIIA | Mixed epithelioid and spindle cell melanoma; duplicate_source_page=216 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Choroidal and Ciliary Body Melanoma
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,AJCC8,yp,T4a,N0,M0,Any,Any,IIIA,source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IIIA | Epithelioid cell melanoma; duplicate_source_page=216 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Choroidal and Ciliary Body Melanoma
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,AJCC8,yp,T3d,N0,M0,Any,Any,IIIA,source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IIIB | Spindle cell melanoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Choroidal and Ciliary Body Melanoma
Uveal Melanoma – Iris Melanoma,AJCC8,yp,T4b|T4c,N0,M0,Any,Any,IIIB,"source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IIIB | Spindle cell melanoma, type A; duplicate_source_page=216 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Iris Melanoma"
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,AJCC8,yp,T3d,N0,M0,Any,Any,IIIB,source_page=216; extract_method=tnm_stage; extra_factors/raw_extra=Spindle cell melanoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Choroidal and Ciliary Body Melanoma
Uveal Melanoma – Iris Melanoma,AJCC8,yp,T3d,N0,M0,Any,Any,IIIB,source_page=216; extract_method=tnm_stage; extra_factors/raw_extra=Spindle cell melanoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Iris Melanoma
Uveal Melanoma – Iris Melanoma,AJCC8,yp,T4a,N0,M0,Any,Any,IIIA,source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IIIA | Epithelioid cell melanoma; duplicate_source_page=216 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Iris Melanoma
Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,any,Any,Any,M1,Any,Any,III,source_page=205; extract_method=stage_carried; extra_factors/raw_extra=IV | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Urethra -> tool_site=Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma
Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,any,Any,Any,M1,Any,Any,IV,source_page=205; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Urethra -> tool_site=Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma
Eyelid Carcinoma,AJCC8,yp,Tis,N0,M0,Any,Any,0,source_page=207; extract_method=tnm_stage; extra_factors/raw_extra=Primary eccrine adenocarcinoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Eyelid Carcinoma -> tool_site=Eyelid Carcinoma
Eyelid Carcinoma,AJCC8,yp,T1,N0,M0,Any,Any,0,source_page=207; extract_method=stage_carried; extra_factors/raw_extra=IA | Microcystic adnexal carcinoma (sclerosing sweat duct | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Eyelid Carcinoma -> tool_site=Eyelid Carcinoma
Eyelid Carcinoma,AJCC8,yp,T1,N0,M0,Any,Any,IA,source_page=207; extract_method=tnm_stage; extra_factors/raw_extra=Microcystic adnexal carcinoma (sclerosing sweat duct | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Eyelid Carcinoma -> tool_site=Eyelid Carcinoma
Eyelid Carcinoma,AJCC8,yp,T2a,N0,M0,Any,Any,IA,source_page=207; extract_method=stage_carried; extra_factors/raw_extra=IB | adenocarcinoma) | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Eyelid Carcinoma -> tool_site=Eyelid Carcinoma
Eyelid Carcinoma,AJCC8,yp,T2a,N0,M0,Any,Any,IB,source_page=207; extract_method=tnm_stage; extra_factors/raw_extra=adenocarcinoma) | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Eyelid Carcinoma -> tool_site=Eyelid Carcinoma
Uveal Melanoma – Iris Melanoma,AJCC8,yp,T1a,N0,M0,Any,Any,I,"source_page=216; extract_method=tnm_stage; extra_factors/raw_extra=spindle, i.e. epithelioid cells detected) and contrast them with grade 1 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Iris Melanoma"
Uveal Melanoma – Iris Melanoma,AJCC8,any,T1b-d,N0,M0,Any,Any,I,source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IIA | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Iris Melanoma
Uveal Melanoma – Iris Melanoma,AJCC8,any,T1b-d,N0,M0,Any,Any,IIA,source_page=216; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Iris Melanoma
Uveal Melanoma – Iris Melanoma,AJCC8,any,T2a,N0,M0,Any,Any,IIA,source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IIA; duplicate_source_page=216 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Iris Melanoma
Uveal Melanoma – Iris Melanoma,AJCC8,any,T2b,N0,M0,Any,Any,IIA,source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IIB | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Iris Melanoma
Uveal Melanoma – Iris Melanoma,AJCC8,any,T2b,N0,M0,Any,Any,IIB,source_page=216; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Iris Melanoma
Uveal Melanoma – Iris Melanoma,AJCC8,yp,T3a,N0,M0,Any,Any,IIB,source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IIB | HISTOPATHOLOGIC TYPE; duplicate_source_page=216 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Iris Melanoma
Uveal Melanoma – Iris Melanoma,AJCC8,yp,T2c-d,N0,M0,Any,Any,IIB,source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IIIA | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Iris Melanoma
Uveal Melanoma – Iris Melanoma,AJCC8,yp,T2c-d,N0,M0,Any,Any,IIIA,source_page=216; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Iris Melanoma
Uveal Melanoma – Iris Melanoma,AJCC8,yp,T3b|T3c,N0,M0,Any,Any,IIIA,source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IIIA | Mixed epithelioid and spindle cell melanoma; duplicate_source_page=216 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Iris Melanoma
Uveal Melanoma – Iris Melanoma,AJCC8,yp,T3d,N0,M0,Any,Any,IIIA,source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IIIB | Spindle cell melanoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Iris Melanoma
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,AJCC8,yp,T4b|T4c,N0,M0,Any,Any,IIIB,"source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IIIB | Spindle cell melanoma, type A; duplicate_source_page=216 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Choroidal and Ciliary Body Melanoma"
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,AJCC8,yp,T4d-e,N0,M0,Any,Any,IIIB,"source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IIIC | Spindle cell melanoma, type B | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Choroidal and Ciliary Body Melanoma"
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,AJCC8,yp,T4d-e,N0,M0,Any,Any,IIIC,"source_page=216; extract_method=tnm_stage; extra_factors/raw_extra=Spindle cell melanoma, type B | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Choroidal and Ciliary Body Melanoma"
Thyroid – Anaplastic,AJCC8,yp,Any,Any,M1,Any,Any,IVC,source_page=235; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Thyroid - Differentiated and Anaplastic Carcinoma -> tool_site=Thyroid – Anaplastic
Thyroid – Medullary,AJCC8,any,tothethyroid,AnyT,AnyN,Any,Any,IVC,source_page=239; extract_method=tnm_extra_stage; extra_factors/raw_extra=M1; duplicate_source_page=239 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Thyroid - Medullary -> tool_site=Thyroid – Medullary
Primary Cutaneous Lymphoma: Mycosis Fungoides and Sézary Syndrome,AJCC8,yp,T1,N0,M0,Any,Any,IA,"source_page=253; extract_method=tnm_grade_stage; extra_factors/raw_extra=B0,1 | or involvement of any lymph node region that does | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Primary Cutaneous Lymphomas -> tool_site=Primary Cutaneous Lymphoma: Mycosis Fungoides and Sézary Syndrome"
Primary Cutaneous Lymphoma: Mycosis Fungoides and Sézary Syndrome,AJCC8,yp,T2,N0,M0,Any,Any,IA,"source_page=253; extract_method=stage_carried; extra_factors/raw_extra=B0,1 | IB | not drain an area of current or prior skin involvement | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Primary Cutaneous Lymphomas -> tool_site=Primary Cutaneous Lymphoma: Mycosis Fungoides and Sézary Syndrome"
Primary Cutaneous Lymphoma: Mycosis Fungoides and Sézary Syndrome,AJCC8,yp,T2,N0,M0,Any,Any,IB,"source_page=253; extract_method=tnm_grade_stage; extra_factors/raw_extra=B0,1 | not drain an area of current or prior skin involvement | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Primary Cutaneous Lymphomas -> tool_site=Primary Cutaneous Lymphoma: Mycosis Fungoides and Sézary Syndrome"
Primary Cutaneous Lymphoma: Primary Cutaneous B-Cell/T-Cell (non-MF/SS),AJCC8,yp,T1,N0,M0,Any,Any,IA,"source_page=253; extract_method=tnm_grade_stage; extra_factors/raw_extra=B0,1 | or involvement of any lymph node region that does | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Primary Cutaneous Lymphomas -> tool_site=Primary Cutaneous Lymphoma: Primary Cutaneous B-Cell/T-Cell (non-MF/SS)"
Primary Cutaneous Lymphoma: Primary Cutaneous B-Cell/T-Cell (non-MF/SS),AJCC8,yp,T2,N0,M0,Any,Any,IA,"source_page=253; extract_method=stage_carried; extra_factors/raw_extra=B0,1 | IB | not drain an area of current or prior skin involvement | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Primary Cutaneous Lymphomas -> tool_site=Primary Cutaneous Lymphoma: Primary Cutaneous B-Cell/T-Cell (non-MF/SS)"
Primary Cutaneous Lymphoma: Primary Cutaneous B-Cell/T-Cell (non-MF/SS),AJCC8,yp,T2,N0,M0,Any,Any,IB,"source_page=253; extract_method=tnm_grade_stage; extra_factors/raw_extra=B0,1 | not drain an area of current or prior skin involvement | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Primary Cutaneous Lymphomas -> tool_site=Primary Cutaneous Lymphoma: Primary Cutaneous B-Cell/T-Cell (non-MF/SS)"
Renal Pelvis and Ureter,AJCC8,any,Any,Any,M1,Any,Any,IV,source_page=199; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | retained_unmapped_legacy_site_v1.3
Renal Pelvis and Ureter,AJCC8,any,Ta,N0,M0,Any,Any,IV,source_page=199; extract_method=stage_carried; extra_factors/raw_extra=0a | provenance=auto_extracted_from_uploaded_manuals_v1_0 | retained_unmapped_legacy_site_v1.3
Renal Pelvis and Ureter,AJCC8,any,Ta,N0,M0,Any,Any,0a,source_page=199; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | retained_unmapped_legacy_site_v1.3
Renal Pelvis and Ureter,AJCC8,any,Tis,N0,M0,Any,Any,0a,source_page=199; extract_method=stage_carried; extra_factors/raw_extra=0is | provenance=auto_extracted_from_uploaded_manuals_v1_0 | retained_unmapped_legacy_site_v1.3
Renal Pelvis and Ureter,AJCC8,any,Tis,N0,M0,Any,Any,0is,source_page=199; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | retained_unmapped_legacy_site_v1.3
Renal Pelvis and Ureter,AJCC8,any,T1,N0,M0,Any,Any,0is,source_page=199; extract_method=stage_carried; extra_factors/raw_extra=I | provenance=auto_extracted_from_uploaded_manuals_v1_0 | retained_unmapped_legacy_site_v1.3
Renal Pelvis and Ureter,AJCC8,any,T1,N0,M0,Any,Any,I,source_page=199; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | retained_unmapped_legacy_site_v1.3
Renal Pelvis and Ureter,AJCC8,any,T2,N0,M0,Any,Any,I,source_page=199; extract_method=stage_carried; extra_factors/raw_extra=II | provenance=auto_extracted_from_uploaded_manuals_v1_0 | retained_unmapped_legacy_site_v1.3
Renal Pelvis and Ureter,AJCC8,any,T2,N0,M0,Any,Any,II,source_page=199; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | retained_unmapped_legacy_site_v1.3
Thyroid – Anaplastic,AJCC8,yp,Any,Any,M1,Any,Any,IVB,source_page=235; extract_method=stage_carried; extra_factors/raw_extra=IVC | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Thyroid - Differentiated and Anaplastic Carcinoma -> tool_site=Thyroid – Anaplastic
Thyroid – Anaplastic,AJCC8,yp,T4,Any,M0,Any,Any,IVB,source_page=235; extract_method=stage_carried; extra_factors/raw_extra=IVB; duplicate_source_page=235 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Thyroid - Differentiated and Anaplastic Carcinoma -> tool_site=Thyroid – Anaplastic
Thyroid – Anaplastic,AJCC8,yp,T3b,Any,M0,Any,Any,IVB,source_page=235; extract_method=stage_carried; extra_factors/raw_extra=IVB; duplicate_source_page=235 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Thyroid - Differentiated and Anaplastic Carcinoma -> tool_site=Thyroid – Anaplastic
Thyroid – Anaplastic,AJCC8,yp,T1-T3a,N1,M0,Any,Any,IVB,source_page=235; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Thyroid - Differentiated and Anaplastic Carcinoma -> tool_site=Thyroid – Anaplastic
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,AJCC8,yp,Any,N1,M0,Any,Any,IIIC,source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IV | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Choroidal and Ciliary Body Melanoma
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,AJCC8,yp,Any,N1,M0,Any,Any,IV,source_page=216; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Choroidal and Ciliary Body Melanoma
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,AJCC8,yp,Any,Any,M1a|M1b|M1c,Any,Any,IV,source_page=216; extract_method=stage_carried; extra_factors/raw_extra=IV; duplicate_source_page=216 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Uveal Melanoma -> tool_site=Uveal Melanoma – Choroidal and Ciliary Body Melanoma
Retinoblastoma,AJCC8,clinical,T4a,N0,M0,Any,Any,II,source_page=220; extract_method=tnm_grade_stage; extra_factors/raw_extra=Any H | This classification applies only to retinoblastoma. The cen- | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Retinoblastoma -> tool_site=Retinoblastoma
Retinoblastoma,AJCC8,clinical,T4b,N0,M0,Any,Any,II,source_page=220; extract_method=stage_carried; extra_factors/raw_extra=Any H | III | tral nervous system component of “trilateral retinoblastoma” | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Retinoblastoma -> tool_site=Retinoblastoma
Retinoblastoma,AJCC8,clinical,T4b,N0,M0,Any,Any,III,source_page=220; extract_method=tnm_grade_stage; extra_factors/raw_extra=Any H | tral nervous system component of “trilateral retinoblastoma” | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Retinoblastoma -> tool_site=Retinoblastoma
Retinoblastoma,AJCC8,clinical,Any,N1,M0,Any,Any,III,"source_page=220; extract_method=stage_carried; extra_factors/raw_extra=Any H | III | would be required in addition to this staging, using the sec-; duplicate_source_page=220 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Retinoblastoma -> tool_site=Retinoblastoma"
Retinoblastoma,AJCC8,clinical,Any,Any,M1|M1AnyH,Any,Any,III,source_page=220; extract_method=stage_carried; extra_factors/raw_extra=IV | tion pertinent to brain and spinal cord tumors (Chap. 72). | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Retinoblastoma -> tool_site=Retinoblastoma
Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,any,T2,N1,M0,Any,Any,III,source_page=205; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Urethra -> tool_site=Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma
Retinoblastoma,AJCC8,clinical,Any,Any,M1|M1AnyH,Any,Any,IV,source_page=220; extract_method=tnm_stage; extra_factors/raw_extra=tion pertinent to brain and spinal cord tumors (Chap. 72). | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Retinoblastoma -> tool_site=Retinoblastoma
Thyroid – Differentiated,AJCC8,yp,T1-T3a,N1,M0,Any,Any,IVA,source_page=235; extract_method=stage_carried; extra_factors/raw_extra=IVB | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Thyroid - Differentiated and Anaplastic Carcinoma -> tool_site=Thyroid – Differentiated
Thyroid – Differentiated,AJCC8,yp,T1-T3a,N1,M0,Any,Any,IVB,source_page=235; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Thyroid - Differentiated and Anaplastic Carcinoma -> tool_site=Thyroid – Differentiated
Thyroid – Differentiated,AJCC8,yp,T3b,Any,M0,Any,Any,IVB,source_page=235; extract_method=stage_carried; extra_factors/raw_extra=IVB; duplicate_source_page=235 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Thyroid - Differentiated and Anaplastic Carcinoma -> tool_site=Thyroid – Differentiated
Thyroid – Differentiated,AJCC8,yp,T4,Any,M0,Any,Any,IVB,source_page=235; extract_method=stage_carried; extra_factors/raw_extra=IVB; duplicate_source_page=235 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Thyroid - Differentiated and Anaplastic Carcinoma -> tool_site=Thyroid – Differentiated
Thyroid – Differentiated,AJCC8,yp,Any,Any,M1,Any,Any,IVB,source_page=235; extract_method=stage_carried; extra_factors/raw_extra=IVC | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Thyroid - Differentiated and Anaplastic Carcinoma -> tool_site=Thyroid – Differentiated
Thyroid – Differentiated,AJCC8,yp,Any,Any,M1,Any,Any,IVC,source_page=235; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Thyroid - Differentiated and Anaplastic Carcinoma -> tool_site=Thyroid – Differentiated
Thyroid – Anaplastic,AJCC8,yp,T1-T3a,N0|NX,M0,Any,Any,IVA,source_page=235; extract_method=tnm_stage; extra_factors/raw_extra=Hürthle cell carcinoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Thyroid - Differentiated and Anaplastic Carcinoma -> tool_site=Thyroid – Anaplastic
Thyroid – Anaplastic,AJCC8,yp,T1-T3a,N1,M0,Any,Any,IVA,source_page=235; extract_method=stage_carried; extra_factors/raw_extra=IVB | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Thyroid - Differentiated and Anaplastic Carcinoma -> tool_site=Thyroid – Anaplastic
Thyroid – Differentiated,AJCC8,yp,T1-T3a,N0|NX,M0,Any,Any,IVA,source_page=235; extract_method=tnm_stage; extra_factors/raw_extra=Hürthle cell carcinoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Thyroid - Differentiated and Anaplastic Carcinoma -> tool_site=Thyroid – Differentiated
Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,any,T2,N1,M0,Any,Any,II,source_page=205; extract_method=stage_carried; extra_factors/raw_extra=III | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Urethra -> tool_site=Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma
Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,any,T2,N0,M0,Any,Any,II,source_page=205; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Urethra -> tool_site=Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma
Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,any,T2,N0,M0,Any,Any,III,source_page=205; extract_method=stage_carried; extra_factors/raw_extra=II | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Urethra -> tool_site=Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma
Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,yp,T1,N0,M0,Any,Any,0is,source_page=202; extract_method=stage_carried; extra_factors/raw_extra=I | Non-invasive carcinoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Urinary Bladder -> tool_site=Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma
Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,yp,T1,N0,M0,Any,Any,I,source_page=202; extract_method=tnm_stage; extra_factors/raw_extra=Non-invasive carcinoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Urinary Bladder -> tool_site=Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma
Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,yp,T2a,N0,M0,Any,Any,I,source_page=202; extract_method=stage_carried; extra_factors/raw_extra=II | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Urinary Bladder -> tool_site=Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma
Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,yp,T2a,N0,M0,Any,Any,II,source_page=202; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Urinary Bladder -> tool_site=Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma
Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,yp,T2b,N0,M0,Any,Any,II,source_page=202; extract_method=stage_carried; extra_factors/raw_extra=II | • Low-grade papillary urothelial carcinoma; duplicate_source_page=202 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Urinary Bladder -> tool_site=Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma
Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,yp,T3a|T3b|T4a,N0,M0,Any,Any,II,source_page=202; extract_method=stage_carried; extra_factors/raw_extra=IIIA | • High-grade papillary urothelial carcinoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Urinary Bladder -> tool_site=Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma
